weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -5.987233809774148278e+06 3.316831952027932129e-02 7.443012394865597403e-02 1.425898479510314232e+00 1.047974545591694238e+02 6.396965040750448583e-01 2.833294413811912604e-01 5.973178163234400984e+00 -7.555249283621001677e-01 7.014526342586924201e-02 3.534464908226603086e+00 9.656629987433200313e+01 9.455017936587029226e+02 8.072911797797426061e+02 5.071151404484499494e+02 -4.832519976376681825e+01 3.215135813222464094e+02 4.345740259084910235e+02 7.503503108662968089e+02
7.678196869260743335e-05 -3.386808775257851721e+03 -1.477143391908347370e-01 7.548775539056945538e-02 -1.136772169404963062e+00 6.211784435569442309e+01 5.408147205235913635e-01 7.404239316293921291e-01 4.939857417350232538e+00 -2.398499421997528636e-01 2.285080885301216114e-03 3.922352814446863345e+00 -2.763905434958743967e+01 3.219042943842387672e+01 1.708317829221206452e+01 1.499512366301980393e+01 3.060807064528631827e+01 3.764567873919921936e+01 1.153928689511351990e+01 5.307757952249803068e-01
7.803656687294487559e-05 -3.386792567564893488e+03 -1.360229744237286820e-01 7.579535011867319372e-02 -1.144036185015453899e+00 5.526919952013289361e+01 5.197588543775938374e-01 7.690248995730966097e-01 4.943477061990178889e+00 -2.200843903520071088e-01 -3.107136866449256019e-03 3.651268494428583811e+00 -2.289230329498730043e+01 3.003068163035160865e+01 1.918362868925804676e+01 1.471800078172902460e+01 2.987568677180365739e+01 3.665026156335638063e+01 1.443363802379471394e+01 1.460463206186535245e+00
7.933400000998773449e-05 -3.386776078299335950e+03 -1.497360400762025867e-01 -4.127358526160392060e-02 -1.349971914020289487e+00 5.923493279447303905e+01 6.408460608694668270e-01 6.961231631208126824e-01 4.946981144608870729e+00 -2.393822834386059029e-01 3.635182852279617016e-02 3.962678085756889512e+00 -2.639211843399510826e+01 3.385202472177017796e+01 1.807292348679634486e+01 1.310729815855671276e+01 3.094632133810304708e+01 3.274760036284829567e+01 1.555727889605729075e+01 1.068177582020279814e+01
7.836140257485876110e-05 -3.386788413595757447e+03 -1.388730334052898363e-01 1.263221175145648745e-01 -1.071564622957828838e+00 5.841397573841376101e+01 4.746064589827900804e-01 7.886204508166050342e-01 4.943041068241909031e+00 -2.282947343601360313e-01 -4.755047054660899164e-03 3.964659803042221320e+00 -3.075145954503466328e+01 3.125697153864581779e+01 1.829612765322086076e+01 9.699011349791675229e+00 3.240899303483325866e+01 3.483375271550293206e+01 1.334112940777265521e+01 1.617376773810352830e+00
8.286278857444773227e-05 -3.385922655306209890e+03 -1.434148906270499568e-01 -7.138425443137615123e-02 -1.407940451115504255e+00 5.764528428759412293e+01 6.359090715951465356e-01 6.918741183787444626e-01 4.950204482717323273e+00 -2.205387806396701400e-01 3.199773566616093134e-02 3.767266503014785606e+00 -1.954044244647798223e+01 3.333406095184177076e+01 1.714748739407623290e+01 1.279125087416532836e+01 3.154540530241877150e+01 3.630501597891932875e+01 1.230126693837330087e+01 5.229306690011092940e+00
8.188680383016252930e-05 -3.385934503543859137e+03 -1.480358559843466260e-01 9.531903458478865887e-02 -1.091146557938730055e+00 6.105201962809214677e+01 5.234483293761327261e-01 7.797203441330167184e-01 4.952005414286393403e+00 -2.277022887113435701e-01 -2.811892721275022211e-03 3.814629134008658884e+00 -1.821287780559944736e+01 3.464733376051798075e+01 1.746698777217303800e+01 8.838482085140931588e+00 3.918869375378955056e+01 3.397375433318028115e+01 1.002290728985566481e+01 1.092150792430934914e+01
1.029663956220116622e-04 -3.385705438717441666e+03 -1.425785931849336829e-01 -5.914692552331024533e-02 -1.391109580520911271e+00 6.789126399340686646e+01 6.275902210910252466e-01 7.021668182202764896e-01 4.947114867989089504e+00 -2.247770880157780038e-01 3.115249412339293755e-02 3.948053224085359858e+00 -2.580543325401626475e+01 3.173835917475009794e+01 1.650226073473881527e+01 1.108323758219720290e+01 3.620039904048107360e+01 3.555948669826547359e+01 1.153523266324429919e+01 6.959564706284449009e+00
8.424610515743399558e-05 -3.385906099057762731e+03 -1.463995396245376668e-01 5.855280034875304240e-02 -1.159478766868028199e+00 6.438317894460236346e+01 5.573030065200186289e-01 7.390233193062432093e-01 4.946030713331181161e+00 -2.284192635569759489e-01 4.714009044345823796e-03 3.682650558340301750e+00 -1.835107985651544027e+01 3.588792676612284538e+01 1.775807090210868111e+01 9.681880763401483847e+00 3.650184046523483516e+01 3.457131211469910426e+01 9.255436092400426418e+00 3.107174863553274768e+00
7.905259253829914916e-05 -3.385969728037040113e+03 -1.459161266648927313e-01 9.766560121172906950e-02 -1.103106995533732704e+00 6.699665444376364576e+01 5.199503046265248063e-01 7.711566001343892474e-01 4.945531596340282832e+00 -2.321147870891635545e-01 -1.919313488679241786e-03 3.808795656804871754e+00 -2.593680105606765096e+01 3.108496595885479508e+01 1.753322543033364411e+01 1.133246109541141777e+01 3.726455407227885530e+01 3.599862716477775137e+01 1.088439609081703807e+01 1.347953308316407472e+01
8.910650957209583346e-05 -3.385850009005362608e+03 -1.489587011569234731e-01 -1.370457976510697229e-02 -1.281059975338676438e+00 6.139545737628585442e+01 6.302470552540323512e-01 7.024484292266712782e-01 4.944205367926313599e+00 -2.425118424144467877e-01 1.509738296853546657e-02 3.896184360233515331e+00 -1.772902280816424536e+01 3.682081519285673465e+01 1.654225241219431553e+01 8.004574798276209435e+00 3.210359021237508159e+01 3.603529567761043495e+01 1.290678324501826069e+01 4.339973991670631470e+00
8.226441401968578729e-05 -3.385929902775609662e+03 -1.482107695635198341e-01 3.057678889018439206e-02 -1.209666244974800131e+00 5.575224210717168916e+01 5.756056966513874995e-01 7.395995035714222343e-01 4.946753515489843878e+00 -2.167135848026593425e-01 1.247940924860180267e-02 3.690469561808562116e+00 -2.350786290559997838e+01 3.373492499289964996e+01 2.020207958351272026e+01 1.515588090038177960e+01 3.111084961052821996e+01 3.328936238367885636e+01 1.223910707845710100e+01 8.528477336109730800e+00
