weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -9.491008421079829568e+05 2.510645613659692743e-02 5.823139929854570518e-02 -8.124833204998234137e-01 8.643851681850337343e+01 2.259059827622320604e-01 8.565700489974552578e-01 3.179765413546518538e+00 -5.622210585692288820e-01 -2.671198699201036142e-01 4.363807899194074302e-01 -1.737175141392656030e+02 6.076189041593502225e+02 7.065019707175167696e+02 5.283378331974496405e+02 -8.699438990846121555e+01 2.295804262575443886e+02 5.618534100693592563e+02 2.159575431626806790e+02
5.598863499010908479e-05 -2.351515678414997637e+03 -3.839855217631152340e-02 1.374604224197331914e-01 1.960248043541005458e+00 1.525550382199734258e+02 4.204177882375029762e-01 8.351306150895350111e-01 4.942367131381105949e+00 2.371752779071538697e-01 -2.993599569638849545e-03 2.672030482681614916e-01 -5.259151892192218725e+01 3.970029300325150956e+01 2.427192896065599825e+01 5.628938743254430221e+00 -4.101418241496511996e+01 3.755046540503881403e+01 2.644109942879024899e+01 4.966985299446946556e+01
5.496845034788694535e-05 -2.350467133508849656e+03 -1.231873985615394990e-01 3.039923048189438481e-02 1.887025055129399220e+00 1.724082325046855715e+02 5.608454975269734355e-01 7.378037648567750129e-01 4.948519799677850273e+00 2.357937660594804363e-01 -1.889972867618938679e-02 2.789591516285559458e-01 -5.102382508835762565e+01 4.200329994873874995e+01 2.502925718650516984e+01 5.898391592518925641e+00 -3.772769246822520017e+01 3.879717986926034712e+01 2.565208056236467726e+01 4.999124298232015917e+01
5.855160082442242283e-05 -2.350403984468633553e+03 -1.240168926007875760e-01 4.860802388088081294e-02 1.937263895111523304e+00 1.632083166470031586e+02 5.440405269231551877e-01 7.577744043379694983e-01 4.944530156524203690e+00 2.182860056792030878e-01 -1.072442127332506878e-02 2.842019927145799651e-01 -5.143863024477491308e+01 3.422171702676235583e+01 2.288560732111621832e+01 1.123091812562870828e+01 -3.837743086514990409e+01 3.661653927920971796e+01 2.677245329717159450e+01 4.297397895622956554e+01
5.357067057322562005e-05 -2.350492891171939846e+03 -1.218937415137675701e-01 2.504003061190854251e-02 1.902682667502356040e+00 1.476984557291704903e+02 5.672223170764223443e-01 7.392214124748823778e-01 4.946252522148647301e+00 2.386776689694345421e-01 -7.043929499279233397e-03 1.596485097093207073e-01 -4.446141200174326968e+01 3.967052864322018024e+01 2.328382560620634223e+01 5.768197016947307354e+00 -3.543082970504411833e+01 3.893907689861065080e+01 2.751145314181380286e+01 5.203842951876724499e+01
5.593731773058765230e-05 -2.350449661161872882e+03 -9.281603554496267727e-02 5.906975332863079187e-02 1.897329669260706453e+00 1.579966712267589628e+02 5.258168948993027225e-01 7.723443972943933034e-01 4.946869084818276363e+00 2.294790009618712379e-01 -1.093582527685033057e-02 2.829409924313084912e-01 -5.192970506224841643e+01 3.670627325860187540e+01 2.242383524376712245e+01 7.679375922555964351e+00 -3.835013733847486606e+01 3.766430152683075505e+01 2.981484839590586944e+01 5.424106775532477798e+01
5.437047474942543031e-05 -2.350478071636508503e+03 -1.147356233087514221e-01 5.240355495489140703e-02 1.909440592896371136e+00 1.601525700402297332e+02 5.255790567984366390e-01 7.565779283273195155e-01 4.946684974850217742e+00 2.375000196011132214e-01 -1.285012556975528852e-02 1.846856895743365368e-01 -4.709605865371921141e+01 3.555695464156028152e+01 2.381822732093063877e+01 5.540953304373430477e+00 -3.741779071886841734e+01 3.705167671450304567e+01 2.681209040085686013e+01 5.693882809387373811e+01
5.562002845383720654e-05 -2.350455349539073723e+03 -8.717693096758138971e-02 4.955981873351306133e-02 1.909536596139862041e+00 1.467410553139552007e+02 5.076975613230770845e-01 7.779443645078973901e-01 4.946547773064587261e+00 2.179804903237421154e-01 -3.977523699398854973e-03 1.922270978715238110e-01 -4.918591772002747575e+01 3.687063320966854718e+01 2.497929678000521037e+01 5.573420110850491049e+00 -3.679713959460991646e+01 3.655980908997125312e+01 2.574082587686810086e+01 4.861330740964919528e+01
6.145568690586281102e-05 -2.350355576522470983e+03 -1.196735298162956290e-01 3.551721923651590673e-02 1.900093595513599354e+00 1.673778420528637980e+02 5.444322313899013777e-01 7.437985842911283285e-01 4.945347073965750795e+00 2.216562035367546368e-01 -1.443344124375922632e-02 3.237456174617692750e-01 -4.957588531999155634e+01 3.871742848519510716e+01 2.440699143145763728e+01 2.353168184353826575e+00 -4.139478734125333403e+01 3.585143029352200017e+01 2.600860507910840624e+01 5.372597815012869660e+01
5.427485423898991090e-05 -2.350479831869295595e+03 -1.095472599642365041e-01 3.937854406766239102e-02 1.898323376394275286e+00 1.752731309634031902e+02 5.457582633231226055e-01 7.703185226740247860e-01 4.954624901444152130e+00 2.313785040916180868e-01 -1.322623724388405364e-02 2.863111174903627543e-01 -5.084804135058757879e+01 4.062947125306204299e+01 2.333386197177300758e+01 7.472935850560746829e+00 -3.938156512089423700e+01 3.778210195130260729e+01 2.491779589915343962e+01 5.750274983326275446e+01
5.817441393144567456e-05 -2.350410447264551294e+03 -1.407132842672820516e-01 1.607929628238360942e-02 1.895734433582965117e+00 1.670011587670435915e+02 5.771951330561541083e-01 7.262212230170930205e-01 4.941107305120540083e+00 2.381869565180774195e-01 -1.820565287124953358e-02 2.274812095366502140e-01 -4.767610503237901298e+01 3.717235008668839669e+01 2.037271324836997621e+01 5.690555114036266460e+00 -4.145971665117056659e+01 3.681918075210699470e+01 2.534792404813768130e+01 5.470192838109733202e+01
5.378321101272747005e-05 -2.350488931543949548e+03 -1.171311640365734486e-01 6.408320153936006291e-02 1.931784707449758720e+00 1.632831618519800827e+02 5.284212894482340772e-01 7.658077415704500623e-01 4.949489463256327326e+00 2.190473058049817734e-01 -9.320321396521169532e-03 2.661747635746378182e-01 -4.811442922990627835e+01 3.806352888025210746e+01 2.486420541675471441e+01 6.452033116710831351e+00 -4.031071969970915347e+01 3.830223092964924092e+01 2.482968445129907309e+01 4.583522965717479281e+01
6.242707438081360530e-05 -2.350339893833872338e+03 -1.096121903416169552e-01 3.140707929842823098e-02 1.878605635659123863e+00 1.614290370257762959e+02 5.665963502729216561e-01 7.385032243125413398e-01 4.948005990280388566e+00 2.404811909940329784e-01 -1.514506281032090840e-02 2.608407023958317361e-01 -5.168814962943579872e+01 3.729872711657344553e+01 2.270888662713366202e+01 1.037835601705294764e+01 -3.544717584406964761e+01 3.736777538687152855e+01 2.612459980000247839e+01 4.630005489418665121e+01
5.542157846721059155e-05 -2.350458923878520181e+03 -6.907883560933543443e-02 7.508171170650529413e-02 1.900945008404884895e+00 1.649295367211364010e+02 4.897353963069066562e-01 7.872683279618066798e-01 4.944107894044468487e+00 2.267803223405113755e-01 -1.591903987671483556e-02 2.394606929873883683e-01 -5.131864901237960908e+01 3.943125343269648653e+01 2.426621420273800211e+01 4.021079293091922580e+00 -4.350131407129293848e+01 3.752556578428578860e+01 2.650947860557639757e+01 4.373779320723969732e+01
5.786132948321807349e-05 -2.350415843622583452e+03 -1.181141491887991446e-01 5.814876211765956926e-02 1.939259409435576842e+00 1.562278799670326066e+02 5.326182253877292938e-01 7.545532073294376474e-01 4.943807655056833283e+00 2.367553743461208171e-01 7.342009693471762688e-04 2.012474338028628074e-01 -5.078578036496062964e+01 3.774463731633937158e+01 2.223630758794736906e+01 9.139693672568395044e+00 -3.699481560251598466e+01 3.576640628343730555e+01 2.880949034763325045e+01 5.760683651639941871e+01
5.803308483112182769e-05 -2.350412879623418121e+03 -1.342761825805827425e-01 1.167459321680128226e-02 1.879665240597937270e+00 1.685290127554816593e+02 5.963306443682567792e-01 7.336159791065992586e-01 4.954050920439099670e+00 2.333404731337778149e-01 -6.268392058765392960e-03 2.226392779222932938e-01 -4.778987523689252725e+01 3.871541869986050699e+01 2.320812821756457112e+01 8.123110681765965069e+00 -3.384193214857222642e+01 3.548177056829271692e+01 2.640605193267897732e+01 5.397587447979779540e+01
6.167304548982248413e-05 -2.350352045928018924e+03 -1.354057886084300832e-01 -7.879458713481585219e-03 1.879244056059642176e+00 1.667259725460419020e+02 5.898596036483927385e-01 7.308296227837973724e-01 4.945188561020827045e+00 2.223681716148375731e-01 -6.005041008261269297e-04 2.401870220803945799e-01 -4.790198019638003757e+01 3.989914711492703248e+01 2.325689936536667801e+01 7.876803969431911412e+00 -3.532839144159657963e+01 3.748981366016812444e+01 2.735442697677548196e+01 5.568737170733228936e+01
5.861574963554579072e-05 -2.350402889473871255e+03 -7.589058599913064973e-02 8.129206713307021714e-02 1.935917904827829439e+00 1.569207305609731122e+02 4.859162608854443732e-01 7.981843796425824866e-01 4.947938187502568752e+00 2.276205589545261532e-01 -6.323309696262935375e-03 3.365513953446170325e-01 -4.683114081891082492e+01 3.424415107036471539e+01 2.382017120199220273e+01 6.814003612977348467e+00 -4.026371584180154173e+01 3.675027522453866169e+01 2.645493457023284734e+01 5.338797641012982353e+01
5.658938262551190500e-05 -2.350438071517964090e+03 -9.899528249972043559e-02 5.298222132574173515e-02 1.915253345993783718e+00 1.489359660228145117e+02 5.339554101633781080e-01 7.617930213344992207e-01 4.943355244716386210e+00 2.377131221970700814e-01 -9.309663991903249780e-04 1.811389317809149468e-01 -4.950385560227027781e+01 3.948968040418210279e+01 2.393273613206292794e+01 6.300705032923126225e+00 -3.649592220334986337e+01 3.754989199496372265e+01 2.713675263103432300e+01 4.992808059732855952e+01
5.410274558062753552e-05 -2.350483007964786339e+03 -4.174886148702157407e-02 8.192186457005670719e-02 1.905136581791287753e+00 1.490281244460425114e+02 4.474338382489044807e-01 8.257978608993763459e-01 4.951172868537072169e+00 2.330226690137453538e-01 -8.233722593247394528e-03 2.274964112961591622e-01 -5.015289098828043279e+01 3.617025866827982838e+01 2.453626700866273680e+01 7.337740247433277574e+00 -3.789040579388415608e+01 3.559934410231724655e+01 2.624036542320418164e+01 4.615912255192600355e+01
5.662565506063611988e-05 -2.350437430747319013e+03 -7.190821805894209717e-02 8.501373052871435965e-02 1.929758499044215370e+00 1.619697098788722656e+02 4.908841616775712069e-01 8.016736886426925057e-01 4.944750486464410955e+00 2.275529853009501391e-01 -1.199104915852222675e-02 2.919184194890568351e-01 -5.026824418982619136e+01 3.846967848185944661e+01 2.377127450277127707e+01 1.107942081570223536e+01 -4.059774922207810732e+01 3.713323050475958098e+01 2.874156888968382262e+01 5.716315179749364717e+01
6.393350159416354259e-05 -2.350316049393860339e+03 -1.474792932985937721e-01 -3.579506269967835941e-04 1.882096979078830223e+00 1.560335858381087917e+02 6.043031357554971006e-01 7.278026650520590390e-01 4.951921230243391925e+00 2.203680374840382150e-01 -1.875957898310209870e-02 1.898477880848354060e-01 -4.728533383886508545e+01 3.663955716806333385e+01 2.305249683147303585e+01 1.195290167259521752e+01 -3.923825164930991605e+01 3.636800512996829582e+01 2.678046019491908680e+01 4.905884218165679300e+01
5.579138599588302435e-05 -2.350452273414818137e+03 -1.298746379790553240e-01 -1.483078244108412824e-02 1.844684624462805900e+00 1.697868355319694729e+02 5.968253992033423216e-01 7.303777765773376007e-01 4.953229463803930699e+00 2.260321320883111884e-01 -2.653646058619552051e-02 2.127325122922083533e-01 -4.743805564064180658e+01 3.499514663892533406e+01 2.277355777258760483e+01 1.004676242294544330e+01 -3.912083259029986948e+01 3.787336689651166211e+01 2.930582311133178663e+01 4.767701830154958031e+01
5.591664097587789562e-05 -2.350450030871719264e+03 -5.400263614420983127e-02 7.954779444503642938e-02 1.915229847320031098e+00 1.643193429514537343e+02 4.707115172013037752e-01 8.107105917507575477e-01 4.941508543104447426e+00 2.309871869457846838e-01 -5.394737003924898744e-03 2.660978573555784488e-01 -4.883557091477055678e+01 3.819769249339744022e+01 2.230863960253049072e+01 8.136909810290472223e+00 -4.108083142203440730e+01 3.530709819903599112e+01 2.664286827623063658e+01 4.577537710138413019e+01
9.229588214662378417e-05 -2.349146029262253705e+03 -8.568522002244281788e-02 5.497276237573492375e-02 1.901626202125271448e+00 1.548893627296499460e+02 5.030121039663929539e-01 7.837950816218368644e-01 4.947138336708190920e+00 2.347123877850179063e-01 -6.277840964323377904e-03 2.526186289040280863e-01 -5.373608112757621313e+01 3.575961399275473696e+01 2.269270719554594606e+01 1.021575492802673324e+01 -3.963567975038372992e+01 3.800400655168401443e+01 2.915771075498918563e+01 4.746236361191547104e+01
7.377441890846526420e-05 -2.349370016744710483e+03 -9.078663281381288419e-02 3.550490292819996618e-02 1.876898576447499245e+00 1.531390563257315023e+02 5.208844608114541197e-01 7.767783824292531225e-01 4.947797006376483786e+00 2.334413307751834754e-01 -1.313033176463074270e-02 1.462765809122160143e-01 -4.429261489520595774e+01 3.949566005920956968e+01 2.218787475542205456e+01 9.262480214647483834e+00 -3.862456238559221333e+01 3.586385418969118177e+01 2.750097989017497113e+01 5.305878882619363424e+01
