weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
0.000000000000000000e+00 -4.183074803211753024e+05 -8.943108125078202963e-03 1.387811403225737983e-01 4.011089181623290756e-01 8.239367070796713222e+01 1.160804056871933554e-02 2.695799859420513478e+00 5.666547914928971252e+00 9.703640628066070306e-01 -6.473408618533478265e-01 1.322260177473689069e+00 -1.509119818125543588e+02 1.568968391429947928e+01 2.711644490438147592e+00 4.474823722766727769e+02 8.839653672022278670e+02 2.024408970287165914e+02 9.469181718333518916e+01 4.419024318186589539e+02
7.464758167832051961e-05 -1.631603860967076571e+03 3.225820224485237420e-02 1.850812517195607465e-02 -2.766599529493254384e+00 8.267928507869488897e+01 7.270324385841732129e-01 6.255840806903674167e-01 4.410636073592812068e+00 -7.045930913053277678e-02 3.541981709863819550e-01 2.878701716991255433e-02 -1.786487202112092518e+02 -1.756615771209743571e+02 4.593511522022119919e+01 1.034041156301956903e+02 2.194214825494644572e+01 4.205689070951024178e+01 2.126327255041038455e+01 1.037457718753544924e+02
6.268098813721449810e-05 -1.631778580912912730e+03 2.960860237498910696e-02 6.321165075868945271e-02 -2.855506046249819629e+00 8.806729301674366184e+01 7.531736340761132631e-01 6.048606574549628689e-01 4.408828559047588413e+00 -6.500841339406226993e-02 3.508398372189203140e-01 1.193038955112954019e-01 -1.739808943593968422e+02 -1.772221335802925068e+02 4.123229350637291901e+01 1.024528918054516993e+02 2.241453752912003949e+01 4.321937486450222821e+01 2.313623620017013494e+01 9.182151159317398026e+01
5.622546694863767242e-05 -1.631887269292257997e+03 -2.552962501443602206e-02 -2.922912740161102974e-02 -2.841571894015504807e+00 7.793073973534588106e+01 6.389673572592088346e-01 6.627546912411299562e-01 4.422208039120912204e+00 -5.518567477459601633e-02 3.032766546555525355e-01 1.481453012496685706e-01 -1.771671202408500676e+02 -1.783597054087025811e+02 3.971269719691294853e+01 1.065451262421215404e+02 2.422807626592870989e+01 4.507692126752682782e+01 1.427520735501497384e+01 9.325496578452229812e+01
5.389989412230862244e-05 -1.631929510581491741e+03 2.450182034282444299e-02 4.200698616085352111e-02 -2.813583750477897993e+00 8.541929026133584557e+01 7.075107106128868395e-01 6.087861821519282568e-01 4.408784135162632012e+00 -3.830638374235340038e-02 3.497262133317546873e-01 7.830162051855736605e-02 -1.768060499033873612e+02 -1.796509087444474346e+02 3.545966042830472986e+01 8.718404042871219417e+01 2.241487154960875117e+01 4.707603567384887810e+01 2.039173970878560738e+01 8.669216549066571531e+01
8.367031295878383731e-05 -1.631489754864374390e+03 -2.917520727597516794e-02 -3.919638487789561809e-03 -2.777319436007686271e+00 7.582735494359506845e+01 6.546783991782485490e-01 6.627023717764884969e-01 4.419079355074025273e+00 -7.510787806686325396e-02 3.071559383654314246e-01 7.188063234759424491e-02 -1.748970230860014112e+02 -1.769577767637782983e+02 4.150757476213428987e+01 8.661497391809325563e+01 2.250137848738531687e+01 4.745608649735611095e+01 2.090258143701806404e+01 9.537606071746529324e+01
7.878577521886593292e-05 -1.631549906632027614e+03 2.457184761436162490e-02 5.149322498423031247e-02 -2.828942733147568500e+00 7.950835761324850637e+01 7.423446576744535674e-01 6.066213693348927460e-01 4.410985026902404904e+00 -7.278893648577833275e-02 3.599415697616985543e-01 3.423396014088819772e-02 -1.752432597244432770e+02 -1.764089669753900580e+02 4.578745242226078460e+01 1.010026113696912375e+02 2.047789122550724983e+01 4.483942150658148762e+01 2.002198784144670896e+01 1.241394835799070080e+02
5.001300136484391741e-05 -1.632004356096145330e+03 -2.319583024987179054e-02 4.307259626339851599e-02 -2.890690582129231245e+00 8.295875922049766871e+01 6.801424229646650943e-01 6.209377487553304764e-01 4.404312073299783137e+00 -2.541114046762915635e-02 3.171788424210673085e-01 5.666278793663439423e-02 -1.777822599192955977e+02 -1.770852478182627578e+02 4.464562437195196765e+01 9.372202860474997976e+01 2.356547440464951038e+01 5.083221772205504152e+01 1.577739520231513737e+01 9.070212772521234967e+01
8.119671267726376080e-05 -1.631519764332991144e+03 -4.003536835258465765e-02 -2.620116048072662629e-03 -2.858912200065298226e+00 9.486237837701189335e+01 6.058308576797809542e-01 6.623916294973073438e-01 4.405864452070906268e+00 -5.916775289855813469e-02 2.953186835237187058e-01 2.089587781423488666e-01 -1.762286771563076115e+02 -1.769741185215841881e+02 4.321004706646181148e+01 9.721894464189395535e+01 2.400866051368255683e+01 4.557552886316151586e+01 1.378031520641120977e+01 9.286622184903814059e+01
5.202661768221550175e-05 -1.631964883628948655e+03 -4.328961872112505049e-02 -6.700271630075887996e-03 -2.797324183721436874e+00 7.532452001137217223e+01 6.105856927423968239e-01 6.933043027971887984e-01 4.421095721358139663e+00 -2.856758692518690523e-02 2.733986199685212171e-01 2.895872147428011495e-02 -1.722832195708107292e+02 -1.791420204883689848e+02 3.749045940824324674e+01 9.209423907794712250e+01 2.350686200228602019e+01 4.474204177335694510e+01 1.582553210826631584e+01 8.880686446342689067e+01
8.854279272185189970e-05 -1.631433153126339676e+03 5.092080459666228909e-02 4.245443015175176527e-02 -2.812482427199512358e+00 8.656990800111678652e+01 7.688786913915353072e-01 5.894960575952017390e-01 4.414134310028480002e+00 -5.980261516928941923e-02 3.411048649786427855e-01 2.632965072509090704e-02 -1.786007258633628112e+02 -1.756258992470919225e+02 3.727249684303768618e+01 9.126551642593305758e+01 1.979255568232607487e+01 4.106204639802213308e+01 1.522022921242671600e+01 9.976945145429039030e+01
7.412204033385178393e-05 -1.631610926166590843e+03 1.544589600212561975e-02 9.155117574652149592e-03 -2.879177780522109042e+00 8.109777158685464826e+01 7.223460258430404179e-01 6.275950401811718482e-01 4.417039074008187072e+00 -4.072245972318055962e-02 3.388478327911723653e-01 1.241576752095014877e-02 -1.780500392347835259e+02 -1.771412074463381146e+02 4.338442639175943327e+01 9.619925598819601475e+01 2.032112022093613035e+01 4.205866620545195644e+01 1.694492891264676260e+01 9.596663211736623111e+01
6.339149696484682784e-05 -1.631767309359894170e+03 7.516287698787571525e-02 6.725725629737536182e-02 -2.779737605674679202e+00 9.211228537117528958e+01 7.798998001720327533e-01 5.983555586854406583e-01 4.403009736746668068e+00 -7.793527353527274215e-02 3.533070170509853281e-01 2.896609850018071197e-02 -1.725460672529902126e+02 -1.787953851442960911e+02 3.969029189602846230e+01 9.617509661919754649e+01 2.249366839672561724e+01 4.736258646091484792e+01 1.025846012007047747e+01 7.295016431498967791e+01
7.278781339498735720e-05 -1.631629090552299658e+03 9.125270773515908873e-03 3.396132095544587837e-02 -2.847661953310780536e+00 8.912377251716202409e+01 6.886984552701604922e-01 6.344277825419446515e-01 4.400137962048193963e+00 -3.840112963261810286e-02 3.240762227401567941e-01 1.935577035752208408e-01 -1.769188747266695714e+02 -1.782098153292263589e+02 3.894647247035975823e+01 1.010251083816173718e+02 2.253389595326649086e+01 4.651250526495187643e+01 1.567090544275417940e+01 7.388704753858044683e+01
5.459773908802566364e-05 -1.631916646621819837e+03 4.896709464173498727e-02 6.764409913411414954e-02 -2.857009419773914871e+00 9.103178919825504067e+01 7.540412208032272190e-01 6.046232564692193279e-01 4.409413468434914662e+00 -9.459906130174555727e-03 3.731880419819593175e-01 4.710632814764512816e-02 -1.766602164606076144e+02 -1.750269913078709578e+02 4.042421043944932535e+01 9.415050507562095561e+01 2.392674303779862655e+01 4.162896155957884758e+01 1.108656128182605727e+01 8.954617117737251419e+01
7.531892991269945514e-05 -1.631594907598594318e+03 -1.311997931496328151e-02 -2.890929285322887954e-02 -2.816054832191056789e+00 8.840710332689630491e+01 5.857624218456771725e-01 6.937690422981419580e-01 4.415996158021652462e+00 -7.046670000341537232e-02 2.772973630485642271e-01 1.159581912882527849e-01 -1.783981743778678606e+02 -1.795246207019306439e+02 4.108210836774339469e+01 9.273338243137840209e+01 2.130533664497558277e+01 4.975368485158104903e+01 1.791913007241652167e+01 7.876049069805412728e+01
6.057256329982676178e-05 -1.631812797055344390e+03 1.096983788436702023e-01 1.014484570489402049e-01 -2.766040020808259392e+00 1.258682463007121584e+02 9.142281187636913664e-01 5.405884932544680055e-01 4.401546258367107001e+00 -8.047061434220670328e-02 4.102125917334673577e-01 2.261693588530885174e-02 -1.743101109623956972e+02 -1.776644326004211791e+02 4.365609578294527182e+01 9.526478412855210820e+01 1.975340916750978337e+01 4.436212713319231682e+01 1.370396176171462344e+01 1.273123508170721436e+02
5.540463083678134491e-05 -1.631901975915697676e+03 -1.064715288874751309e-03 1.786129776600942076e-02 -2.785062574624493248e+00 7.884846091909041377e+01 7.062048078138233320e-01 6.335783958961751505e-01 4.411457548648410665e+00 -9.543120398599747034e-02 3.042033877348719884e-01 4.806089191493457397e-02 -1.772161711955248222e+02 -1.747312791546172548e+02 3.619915334465928680e+01 9.733989984002721485e+01 2.160002133182625883e+01 4.257801894378743413e+01 8.594149393309935547e+00 9.182191975598486522e+01
5.286728944825330284e-05 -1.631948854294374087e+03 1.173065852694930855e-01 9.539966157440946115e-02 -2.775626662732237904e+00 1.101550866044410668e+02 8.452096987674841966e-01 5.788020322875098156e-01 4.413930851694994217e+00 -6.507456839699776729e-02 4.159688572848314614e-01 5.976548028441971971e-02 -1.765091371532095366e+02 -1.798303150612579486e+02 3.830524394031819924e+01 9.755639252045899923e+01 1.891745237862185647e+01 4.575789518481487761e+01 1.717029223250232661e+01 7.352294884459031721e+01
5.411985730547306666e-05 -1.631925437928402062e+03 -5.291391639114141621e-02 2.261731278151146718e-02 -2.862219293943320864e+00 7.135369659172043555e+01 6.161802781930976192e-01 6.425348823273755450e-01 4.399162094628950470e+00 -2.515398788082690018e-02 3.014964465636071900e-01 8.454563026467144804e-02 -1.781786589451992029e+02 -1.779276070392191116e+02 4.249982529235407469e+01 9.628951504234083814e+01 1.825381134909009972e+01 4.564643717116023680e+01 1.490963592975202978e+01 9.438165985106772382e+01
7.596130881938084774e-05 -1.631586414978897210e+03 4.297491441094072884e-02 1.738357076979168969e-02 -2.753191503468469303e+00 7.532339342312045005e+01 6.934503515047957256e-01 6.285805630329783789e-01 4.403464003886234934e+00 -7.952941744788666334e-02 3.381566741699044698e-01 1.852484998183170223e-02 -1.666512337512596105e+02 -1.764807701671798554e+02 3.851237421581876674e+01 9.552711047047934301e+01 1.802319040189992450e+01 4.408358815195900604e+01 1.585878616543734410e+01 9.766119569743226236e+01
5.388924382963075356e-05 -1.631929708194960313e+03 6.622329773493668137e-02 4.009460445821874663e-02 -2.735778785284610493e+00 8.632398103392725375e+01 7.850263432817287113e-01 6.118271961892322031e-01 4.422107651313427645e+00 -6.867691286922461558e-02 3.320507873262701359e-01 1.829888133569099878e-02 -1.721437173887062499e+02 -1.767954967872005625e+02 4.187343575296343090e+01 1.047236615056437188e+02 2.138343827860822444e+01 3.920499389205534158e+01 1.352820340666449539e+01 1.016311508826663896e+02
5.691135358881829065e-05 -1.631875144238009852e+03 -2.769510493588142608e-02 -4.832202320020212438e-03 -2.870200674966760346e+00 7.729899566130431765e+01 6.331386354318024878e-01 6.338757918328945529e-01 4.395344707650828298e+00 -4.750986562338965769e-02 2.973755652591738574e-01 5.644312182428781743e-02 -1.760143389361296329e+02 -1.777248754210593518e+02 4.081247186492498003e+01 9.414014142570647437e+01 2.017131063973010185e+01 4.909040985845147986e+01 1.725111304155724312e+01 8.328332105002812114e+01
6.700191682122423630e-05 -1.631711917866815384e+03 -4.378109571013373558e-02 3.910541800331540641e-02 -2.853126465209869789e+00 7.363408723153669655e+01 6.376716854385396926e-01 6.493945335922450823e-01 4.408196202081358095e+00 -5.015282153085331984e-03 3.073138017266439093e-01 1.783120503010411639e-02 -1.781458514473665389e+02 -1.742961660205493786e+02 3.836655499390572999e+01 1.036261355399904431e+02 2.284936847729224141e+01 4.465893021445288724e+01 1.328246746942030043e+01 8.691178113102215264e+01
6.879311265108026719e-05 -1.631685535461956533e+03 -1.834496730507989559e-02 6.897882275235661664e-03 -2.780975812651202528e+00 8.894210177072335455e+01 6.418581333157729052e-01 6.418725539665675051e-01 4.397726921707791448e+00 -7.399159934556998053e-02 3.028198628350278199e-01 4.771124648963771808e-02 -1.764914859611015743e+02 -1.795807494180722017e+02 4.367422116203678684e+01 9.939448690373109230e+01 2.576007361600363055e+01 4.847865519064819750e+01 1.449582277255223595e+01 7.318630833645900680e+01
5.037844465100504640e-05 -1.631997075696971251e+03 1.904191016438597228e-02 1.226312055184092253e-02 -2.825756950227799269e+00 8.259202038071703100e+01 6.772544551284833680e-01 6.353554205606340988e-01 4.405849108878880926e+00 -3.012041958313482759e-02 3.056606857199768434e-01 1.013192083731916243e-01 -1.798932840577739398e+02 -1.795397029894148204e+02 3.861586051194787217e+01 1.022442478319270975e+02 1.916879605229082628e+01 4.685771108795056250e+01 1.212149018916375276e+01 7.940430701197398378e+01
7.695112317890955250e-05 -1.631573468638673603e+03 3.117422675884468086e-03 2.068644646710038337e-02 -2.851200873373914035e+00 1.016021649480583733e+02 6.883822430668791181e-01 6.367935340262314003e-01 4.408668013036106892e+00 -5.381329908229126602e-02 3.266508099261724585e-01 2.617776097874112695e-01 -1.736335537125389408e+02 -1.790262383510778932e+02 3.535236808376107831e+01 1.017197428122045295e+02 2.193007955286541133e+01 4.403197568944383988e+01 1.562084277621888972e+01 7.190787099689232775e+01
5.831247792397252592e-05 -1.631850822995043018e+03 5.856766342142238901e-02 2.654463960144792800e-02 -2.826608349677617760e+00 9.354960339243091028e+01 7.605930765671515825e-01 6.074929381359484015e-01 4.395653974227383465e+00 -4.878125708925384885e-02 3.509119679113821277e-01 7.033590190271403475e-02 -1.752243690541538683e+02 -1.775766251474950082e+02 3.805591589827428578e+01 1.017687525090557017e+02 2.474235833543714236e+01 4.413089391850822096e+01 1.676888253327135558e+01 8.591611660825337538e+01
5.425346590054090195e-05 -1.631922972217121696e+03 4.540774571716815755e-02 6.684695196230078240e-02 -2.765344461612567084e+00 1.004886974170295133e+02 8.065362017888428880e-01 5.888069088535068385e-01 4.405685733115402236e+00 -7.044433344968270561e-02 3.438592138017155797e-01 1.220701933548578172e-01 -1.768543678500151941e+02 -1.751920719108293270e+02 4.229971823404166287e+01 1.027877185480380291e+02 1.953123088900199278e+01 4.447374736736809098e+01 1.428582102056563663e+01 9.394425986595456379e+01
5.768013555665516478e-05 -1.631861726251945129e+03 3.719467090861375280e-02 5.612618508168756848e-02 -2.834348215623394118e+00 8.761884118638668895e+01 7.185796512637718791e-01 6.117158372523564536e-01 4.413328819952289095e+00 -3.368330299318111898e-02 3.297577719711777267e-01 9.048288149162866945e-02 -1.737773823875935477e+02 -1.773936321037178061e+02 3.840257751327447266e+01 9.440612249412706092e+01 2.006201764216120154e+01 4.424345856907508079e+01 1.456369157398951231e+01 6.867048514516582713e+01
8.878439508743661199e-05 -1.631430428191510828e+03 6.905120613679510688e-03 3.977506626031840353e-02 -2.873784036567145872e+00 8.102729834554359911e+01 7.073119510495271545e-01 6.234665925061122493e-01 4.418853761213477505e+00 -5.447811193323981449e-02 3.454051219055316313e-01 1.074979627322272674e-01 -1.775892817723195094e+02 -1.783171472689267318e+02 4.336786296574523902e+01 9.228634430174386694e+01 2.222025695818297208e+01 4.538080600885929528e+01 1.192524260751670617e+01 9.939302730187571910e+01
5.563133109092209739e-05 -1.631897892543694525e+03 -6.378605642930829100e-03 1.797586962836145164e-02 -2.836453331140083911e+00 7.534128718487514220e+01 6.551572679129682442e-01 6.290313566749239360e-01 4.408227902165090306e+00 -2.837293955110187227e-02 3.222711865906029427e-01 3.678884487164786610e-02 -1.748337305182296291e+02 -1.777626083898202012e+02 4.020684585978495562e+01 1.001203039984401926e+02 2.042769374644537450e+01 4.136326902999842758e+01 1.723522977281000124e+01 1.209793210305695226e+02
5.353349533420928851e-05 -1.631936331556060850e+03 -8.195531338137394817e-02 -8.178952280629323002e-02 -2.806543196161872089e+00 8.956930709466740836e+01 5.175484200182572936e-01 7.194224291560342710e-01 4.406058377321756758e+00 -6.109256890866543444e-02 2.505935715458122992e-01 1.742370293877449627e-01 -1.764188599500510009e+02 -1.795126990960414446e+02 4.413350568553131836e+01 8.768812484787468975e+01 2.338822515028427063e+01 4.995948385085446830e+01 1.439885644616156668e+01 8.727681064877401695e+01
8.068299575587402090e-05 -1.631526111251340353e+03 6.625133982460418292e-02 4.334442379287878344e-02 -2.835342281192433589e+00 8.836036189650540962e+01 7.864765062618356284e-01 5.965558524748953984e-01 4.408268752609195928e+00 -4.914841405920511441e-02 3.834067380071768394e-01 5.309466132778261488e-02 -1.758316563991414512e+02 -1.744081753399367756e+02 4.141709868417831331e+01 9.577782127283218472e+01 1.983370727984967630e+01 4.627459139986478220e+01 2.250268211313299815e+01 1.161569196462426419e+02
6.725662252168129295e-05 -1.631708123605276796e+03 -3.786355150213943643e-02 1.502637814569773855e-03 -2.825744362113185915e+00 8.503840280528049789e+01 6.262343194747288511e-01 6.692621525729223197e-01 4.415045423001212832e+00 -5.349167545867272722e-02 2.898862531921764241e-01 1.145323187917297730e-01 -1.764848510742565395e+02 -1.760235392572686521e+02 4.113335377030236373e+01 8.609303364592012997e+01 2.573757518229324859e+01 4.384714489034691098e+01 1.754895050898297626e+01 8.339436126818378625e+01
6.214165840543591174e-05 -1.631787222503249268e+03 -1.457165055718618873e-01 -8.849368849467106890e-02 -2.813594723799474284e+00 7.066097862652956962e+01 4.751170852995488803e-01 7.673856335243478544e-01 4.420157344228597296e+00 -5.807716760641290499e-02 2.173496696137304784e-01 1.220266070132035308e-01 -1.759616513293972275e+02 -1.780347819442979187e+02 4.145575290506564414e+01 8.805909887590590301e+01 2.705731575557401669e+01 4.639213370191220065e+01 1.830279614965512991e+01 8.381986453096135392e+01
6.156115173065571133e-05 -1.631796608077198471e+03 8.536480061373985517e-02 1.918666540949839905e-02 -2.768827214890691391e+00 8.804099268457169103e+01 7.733941061209967938e-01 5.896963234603661563e-01 4.410893957883747163e+00 -8.309884585180160599e-02 3.692768600237088528e-01 1.291946840371215564e-02 -1.781419816630305775e+02 -1.750999293206973277e+02 4.314126624236902785e+01 1.023662510543237261e+02 1.980874157130985225e+01 4.693228312065400587e+01 1.901216791556470298e+01 1.098238334452129550e+02
6.388248203417647272e-05 -1.631759593917840675e+03 7.750767568566171994e-02 6.783096151114248462e-02 -2.795740485213487503e+00 1.003932476682982013e+02 7.702752552189918722e-01 5.924925194166517084e-01 4.403526663781607731e+00 -6.275478551307589470e-02 3.919843932841071688e-01 1.182047760815760906e-01 -1.779638074108027013e+02 -1.798319141423931171e+02 3.801703097184605440e+01 9.768455959209143202e+01 2.089226123258047707e+01 4.144330648625349767e+01 1.937808589805156601e+01 9.111167634305483887e+01
