weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
0.000000000000000000e+00 -9.455600327991389204e+05 -4.007378815544021533e-02 1.162821389229080904e-01 2.443062909424560836e+00 1.070570045416081513e+02 5.458269148860362963e-01 9.043139188242756976e-01 5.384607079216920944e+00 8.833702026379632866e-01 -4.400296847793649935e-01 3.154874469404548076e+00 2.570959263418922092e+01 -8.754675215445551828e+01 9.461996906593607264e+02 1.707736854082992863e+02 3.402064858070041886e+00 8.410463630194057032e+02 6.918873742512821536e+02 2.845013244580554215e+02
6.649945531340601171e-05 -1.333292162919946804e+03 -5.131796657174410303e-02 -1.326865715022102210e-01 -2.700260215389035601e+00 1.008700938026028808e+02 4.915718602302606710e-01 7.491376069718145292e-01 4.412642965370744186e+00 -1.215175444481859657e-01 2.337007630639877931e-01 8.137443452579575798e-01 -1.643162445798249678e+02 -1.787144673973764668e+02 3.407883566173464374e+01 8.464346377422471335e+01 1.257001148888703312e+01 2.685477510873091234e+01 1.583934893150129497e+01 7.315957925108374127e+01
4.799055638296210200e-05 -1.333618352427269201e+03 3.117615712792740079e-02 -3.766716280951383500e-02 -2.713039816855726816e+00 9.072076276351678814e+01 6.784334602527487545e-01 6.182939670785526642e-01 4.393654066168585004e+00 -9.118879524076728416e-02 3.138186026867164635e-01 4.921099092216260629e-01 -1.622467618754861292e+02 -1.724330581534939029e+02 2.942973354419397936e+01 8.308864429201601354e+01 1.323265401836237842e+01 2.957307750218740594e+01 1.690307263370694102e+01 8.671121923013291166e+01
5.073101124797515257e-05 -1.333562819291495316e+03 -8.778195004598460249e-02 -1.291127866877784247e-01 -2.749916752444216517e+00 9.714956640063104487e+01 5.043045258968914535e-01 7.381677906562200686e-01 4.398176882358962203e+00 -9.950368505277484843e-02 2.338578311233632245e-01 1.032271554325703500e+00 -1.704611946845182331e+02 -1.719672984168102516e+02 3.153646024605072284e+01 8.525328390338660256e+01 1.324158979257450497e+01 3.043796125566644406e+01 1.826363956349219464e+01 8.114174039297705576e+01
5.170241811425564822e-05 -1.333543852124342720e+03 2.012117332409746329e-02 -7.113616349357521074e-02 -2.666445675137937066e+00 8.028142233462742183e+01 6.264539838512184211e-01 6.527553867387001496e-01 4.411117261119221311e+00 -1.150800489609684618e-01 2.777687464053004707e-01 4.844362915346859255e-01 -1.606685080268899242e+02 -1.733497991740352404e+02 3.260368817599446345e+01 7.928942390586857414e+01 1.250841956396775423e+01 3.005270420188632841e+01 2.236478974922184904e+01 8.152339563780364529e+01
5.177468499662713153e-05 -1.333542455353618607e+03 -5.189239368630078897e-02 -8.294096806751470596e-02 -2.738344674505316156e+00 8.627711537098994654e+01 5.153775472711874528e-01 7.300933689969133500e-01 4.408501107609413161e+00 -8.742857255078217982e-02 2.452050099105613779e-01 4.748290257407593584e-01 -1.654724746035443843e+02 -1.753050511963620011e+02 3.275468807905357238e+01 8.421471551190595051e+01 1.574589611761112451e+01 2.706538743288311366e+01 1.666315785786098758e+01 8.977528699903226084e+01
4.804827638595952715e-05 -1.333617150413286254e+03 1.267029865823390000e-01 8.445293759395630651e-02 -2.743435250447806784e+00 1.003548593723542979e+02 8.704149985665018407e-01 5.555551238324822894e-01 4.395003550495669487e+00 -9.614302543432673431e-02 3.942724007009492659e-01 6.494337051858342647e-02 -1.704001272528082893e+02 -1.750231308131543813e+02 2.939328553990194592e+01 8.569615128367891543e+01 1.347590007515719890e+01 2.805118812033935427e+01 1.546901720885185405e+01 7.747095715442586084e+01
8.464052832853396016e-05 -1.333050943466642138e+03 1.230602217235885198e-01 5.839561388044500756e-02 -2.683494246571129782e+00 1.119945290586056643e+02 8.867051664120124688e-01 5.554412500811813924e-01 4.404036000316190247e+00 -1.477964247609671045e-01 3.872871148861176671e-01 1.535196907715339065e-01 -1.634348200886134350e+02 -1.716999642886386255e+02 3.364398522927692170e+01 7.710147125945465518e+01 1.340253316863016053e+01 3.018617535032264243e+01 2.070855171189067789e+01 7.916463163733200759e+01
5.619384401815445473e-05 -1.333460549462942708e+03 8.115585278853884588e-02 -4.771757018407540851e-03 -2.772480806214708160e+00 8.778813770836714525e+01 7.590681470131586117e-01 5.985701941857672903e-01 4.401884437761699687e+00 -1.008038706988076960e-01 3.586719043788215711e-01 1.837888530566384182e-01 -1.709516915701511834e+02 -1.769052141966250531e+02 3.309950844168174910e+01 8.423211684562392065e+01 1.168690036022024259e+01 2.935363129999046805e+01 1.955326267240853255e+01 8.024046953539354377e+01
6.063278770007531033e-05 -1.333384520878882995e+03 -1.125434963155072382e-01 -1.132274651663596615e-01 -2.781968949734494601e+00 1.048525119872500539e+02 4.666816283222957606e-01 7.695215721198673808e-01 4.411737069669543487e+00 -8.460179670141609876e-02 2.237520041535112636e-01 1.037446900422391849e+00 -1.648525606402265566e+02 -1.741206198591310681e+02 3.357986999621309820e+01 8.919176379800542520e+01 1.096146114786367143e+01 2.970968507247429002e+01 1.644172967927759288e+01 8.899592872455130532e+01
5.974308748106049553e-05 -1.333399303183373831e+03 1.343978201295426000e-02 7.338449378141154167e-03 -2.755966381515236208e+00 9.329489316145192390e+01 7.080170024339841328e-01 6.138264285166775691e-01 4.401755321195983228e+00 -6.653212510225570142e-02 3.391986770998567380e-01 3.454485935091848314e-01 -1.730924678213046661e+02 -1.767702725934209411e+02 3.245089425380021453e+01 8.061765324234015395e+01 1.221838684209253145e+01 2.746544644212756126e+01 1.813568018174605001e+01 9.468964868960372883e+01
6.061032096664130365e-05 -1.333384891485244680e+03 4.005580754150545042e-02 -2.862544869169238171e-02 -2.692726552989912037e+00 7.893916583325334102e+01 6.953020578485237246e-01 6.183895198537494586e-01 4.406294360825518730e+00 -1.190834477267699310e-01 3.312501222924135735e-01 4.148857213756851903e-01 -1.709726954346257912e+02 -1.732559312033290553e+02 2.957544226792862929e+01 8.703592965723561292e+01 1.450468459185416670e+01 2.511784279281936705e+01 1.569647732457801759e+01 8.262967541231525104e+01
4.999909368974531348e-05 -1.333577351797740448e+03 -6.006106296460152205e-02 -1.191670232096440490e-01 -2.744593936742945939e+00 7.784602873204215712e+01 5.273397549663491057e-01 6.952438500641389130e-01 4.410230067858474712e+00 -7.532894426038527769e-02 2.631560969126214289e-01 6.631038413808290066e-01 -1.646337939338780529e+02 -1.758934118925255916e+02 3.342350509814795601e+01 8.317936243745627678e+01 1.232686663055426735e+01 2.963320138165337170e+01 1.863341591755740723e+01 8.546428407122164117e+01
5.962687901588129095e-05 -1.333401250214194306e+03 1.845627729258147998e-02 -7.039213314216886952e-02 -2.676746484152267236e+00 9.477113529294122429e+01 6.051972028553962435e-01 6.735277265584287409e-01 4.405239679482054527e+00 -8.938297683944607108e-02 2.831191637708463382e-01 6.680178114950924284e-01 -1.667886509850762309e+02 -1.718165871903460129e+02 3.126576125686997187e+01 8.177617931586466682e+01 1.139235754564726832e+01 2.509609571374360470e+01 1.770597633175852081e+01 9.406798291575813664e+01
5.608903949719456171e-05 -1.333462416257740415e+03 -3.883616997914808577e-02 -7.512490315142812680e-02 -2.807242454722797209e+00 7.502022401027710430e+01 5.476551921879615481e-01 6.853132433780455557e-01 4.403679168243891162e+00 -9.049278372454083730e-02 2.687091245236379322e-01 3.439220555110221733e-01 -1.706479201701455679e+02 -1.787087840811255148e+02 3.178700609736806371e+01 8.070944810575264228e+01 1.492189827939305324e+01 3.053961844084806998e+01 2.003501184173506289e+01 8.294941424226153970e+01
5.299310337987273587e-05 -1.333519194896622139e+03 4.813520625380923734e-02 -6.532462643368514010e-03 -2.743597243910648409e+00 8.590511098819187907e+01 7.190833205190596544e-01 6.269446238948990224e-01 4.413056631022066689e+00 -8.724520163055782263e-02 3.406918013201130080e-01 5.031720164109093618e-01 -1.664874190126021460e+02 -1.727435545028067452e+02 2.893937843241733887e+01 9.177700459436444191e+01 1.295746477600057034e+01 2.763984136181285578e+01 1.513619576671698752e+01 8.831622358461255828e+01
5.009087597547609848e-05 -1.333575517801551769e+03 4.944271170452319009e-03 -2.954951321005008791e-02 -2.723985067301736951e+00 1.106077295570461132e+02 6.501381761644378088e-01 6.844562647532603794e-01 4.422957570817985129e+00 -6.142789848063201497e-02 2.874492813994904417e-01 8.115993608954877869e-01 -1.652263614740295452e+02 -1.754948181295020504e+02 3.352263289065493268e+01 8.675003412097449029e+01 1.285157692273974916e+01 3.047123166190446142e+01 1.702745935758542828e+01 8.762800902505918543e+01
