weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale Hb_params-v_0 Hb_params-I01_spec1 Hb_params-I01_spec2 Hb_params-I01_spec3 O3a_params-v_0 O3a_params-I01_spec1 O3a_params-I01_spec2 O3a_params-I01_spec3 O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -6.758896957505418919e+06 5.776589657251585130e-02 1.032519470708481435e-01 -3.996260140152152474e-01 1.307716750710069675e+02 4.446470641876036911e-01 1.565031908473858868e+00 4.856240712893671763e+00 -7.210355526769052226e-01 -1.020759193537283949e-01 5.239947725509157272e-02 -9.363263961026149218e+01 6.363545144252922228e+02 7.435149198547132983e+02 9.140718275364770307e+02 -1.360490625517235230e+01 7.240009694693831079e+02 6.607183060142990598e+02 9.135014988095886110e+02 -1.793816096260724748e+02 9.608868164389255071e+02 4.251138267461121814e+02 8.536755515905495031e+02
1.392908829907349385e-05 -4.146028141052751380e+03 -6.809851325717999893e-02 1.152651177972659202e-01 -5.480899803821022154e-01 1.665313235594322805e+02 5.995254349911309788e-01 1.104043909822427061e+00 5.142581989206769677e+00 -1.914232429256323975e-01 -5.878488574694595847e-02 1.540666820375255819e+00 -3.061000490672310548e+01 4.461928257272739984e+01 1.557517869657065646e+01 7.786890653685651387e+01 -3.401506368949793568e+01 2.459272724181227332e+00 3.213626507427402856e+00 4.758446388039239139e+01 -2.900208616685719676e+01 1.081504228810670298e+01 2.535925221179891054e+01 2.118819568355612262e+02
2.996353787725106437e-05 -4.145262139151294832e+03 -8.026198947754951962e-02 1.300440658917987602e-01 -5.669501947673136755e-01 1.800595329049249358e+02 5.766286763660269932e-01 1.135768028517850192e+00 5.149155568601280208e+00 -2.062535698474019519e-01 -3.765570441612497987e-02 1.766574693177226818e+00 -2.969490085652978451e+01 5.049799261221443913e+01 1.637683643616327700e+01 8.124033216075355313e+01 -2.833731467962093120e+01 2.840615637326959764e+00 3.142349355090723328e+00 5.344428134797674090e+01 -2.827881329550453415e+01 8.641729055980039931e+00 2.232337922781002604e+01 2.119977465585757272e+02
1.542081035795803153e-05 -4.145926402470511675e+03 -7.624156840969301130e-02 1.480014651929650593e-01 -5.512880113300258067e-01 1.570111334277914068e+02 5.397564060189241619e-01 1.170669451500166991e+00 5.150985182256684780e+00 -1.936727473050532389e-01 -4.799818485046358774e-02 1.552899486461898348e+00 -3.096309654357366981e+01 4.823241515492426856e+01 1.733745894341009830e+01 8.104222667093851840e+01 -2.771079703213959533e+01 2.348688946358201690e+00 4.524304622428365619e+00 4.897684336579332864e+01 -3.068491957257748481e+01 9.794454378052375176e+00 2.470171491713846024e+01 1.987102122994535023e+02
1.626047645834884241e-05 -4.145873382983490956e+03 -7.262321019338564831e-02 1.163381146796327037e-01 -5.411608429656733499e-01 1.501133604323137263e+02 5.886473461628681791e-01 1.116928327334674620e+00 5.149756559433679826e+00 -1.897616250136380245e-01 -5.401423949811023917e-02 1.349213716880281799e+00 -3.108008367364263336e+01 4.709382143653195385e+01 1.690693806545229450e+01 7.773294319657730966e+01 -3.243580028492729639e+01 2.095585699252389134e+00 4.276861203201254291e+00 4.943101682816541853e+01 -2.676381186933323875e+01 1.019031471244802312e+01 2.558394882229986322e+01 2.052396013557241758e+02
1.692667778231184296e-05 -4.145833229445360303e+03 -3.431774833460321528e-02 8.836196097760415369e-02 -5.792817270688392917e-01 1.886994608648809901e+02 6.684851016241548649e-01 1.064379400063286463e+00 5.151210711236943851e+00 -2.032942871375862381e-01 -5.876177721808639731e-02 1.589477813785129090e+00 -3.154506400229283258e+01 4.787734760393070133e+01 1.747094967479867478e+01 7.723531408824391065e+01 -3.124296163204621735e+01 2.229050633260731828e+00 3.878355787186316128e+00 5.252778727761120336e+01 -2.586366613464093689e+01 9.091747786045601742e+00 2.543944635351646966e+01 1.950294879868561679e+02
2.648780112148346104e-05 -4.145385436097695674e+03 -7.591102627442700146e-02 1.349033842288678564e-01 -5.793494901061770896e-01 1.626799095986176837e+02 5.805253271136497917e-01 1.122129665854414204e+00 5.144344754583110912e+00 -1.980953509706484539e-01 -4.478283379905123596e-02 1.523144136687292427e+00 -2.873981330029153014e+01 4.691446916712893511e+01 1.605588860781037397e+01 7.968802501324712750e+01 -2.748403893853765112e+01 3.270814197091187481e+00 3.255394994898797023e+00 5.474814690108964754e+01 -2.997816621757627331e+01 9.160962075373092262e+00 2.570878770443296801e+01 2.051914857260836982e+02
2.597845065659199059e-05 -4.145404853016203560e+03 -4.489824524770470726e-02 9.560765135009788307e-02 -5.698208798862589575e-01 1.721762740481548519e+02 6.356799324940883844e-01 1.099115307707438260e+00 5.155151636373108914e+00 -1.975690552921047782e-01 -5.926889791169065447e-02 1.461964390207407982e+00 -3.055495779985901095e+01 5.010600099741402147e+01 1.569079510460336024e+01 8.477165061161772996e+01 -3.180098126783221346e+01 1.584838401186394741e+00 2.115117584686188046e+00 4.894217549759438413e+01 -2.819481029100560932e+01 9.957982936796948792e+00 2.608044387301078260e+01 2.058524530370136176e+02
1.817886145197558434e-05 -4.145761860929278555e+03 -7.530552884237874667e-02 1.206669731839597748e-01 -5.671212134909842106e-01 1.695595651037163805e+02 5.779725553317156539e-01 1.137850029892057746e+00 5.150502717787722062e+00 -1.988262596218741685e-01 -4.222293589843251205e-02 1.632846739050176410e+00 -3.170516811145159863e+01 4.703720565946512266e+01 1.627299593736952943e+01 7.996695571226864274e+01 -2.816292978937929092e+01 2.605554354516481652e+00 2.485910325902174201e+00 4.699150273409591705e+01 -2.960748638189301118e+01 1.130553957444579893e+01 2.464640833821218990e+01 2.063485162772908836e+02
1.618475358452324677e-05 -4.145878050727329537e+03 -7.354639865684099720e-02 1.424560181320000118e-01 -5.858107734847504133e-01 1.891564019780136334e+02 5.833101613978762812e-01 1.117506964445028617e+00 5.145489836621585766e+00 -2.076736668971899125e-01 -4.215034879044132765e-02 1.903570064225725167e+00 -3.242778321711639933e+01 4.750245096619276808e+01 1.558349987581786422e+01 7.879801048922796269e+01 -2.882354189454935067e+01 2.416297403413980582e+00 4.588299087710745461e+00 5.602834583505212152e+01 -2.810397915485992826e+01 9.570614338235362339e+00 2.775134006888424665e+01 2.057806445346892588e+02
