weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -3.049063582393483259e+06 -3.929383205353292885e-02 -1.108666029140140397e-01 2.264817514547935673e+00 7.384597747535261192e+01 9.297053206860350638e-02 5.147246422019287060e-01 5.792756925530216705e+00 7.560042422516464189e-01 -3.450724035404053591e-01 1.009727095642043881e+00 -1.346031007576549996e+02 3.341290320899522612e+02 2.192853390615839828e+02 1.580676782828136595e+02
8.920689215760348970e-05 -2.158915757766409115e+03 8.695978002714668809e-02 5.004370157745982595e-02 -3.293840348118086681e-01 1.102234471228957489e+02 8.313083226023585404e-01 2.931433771455068671e-01 4.589975518380011721e+00 -6.774858926894400390e-01 -1.691060753192150656e-01 1.820290875218266435e-01 2.139810763063596255e+01 8.855600481019298087e+00 1.477845799332590957e+02 8.846568235459506013e+01
1.067663521019010216e-04 -2.158736073247690911e+03 1.004008381496123981e-01 4.374247050484508792e-02 -3.108155605496643048e-01 9.442527583458094398e+01 8.091003137714635196e-01 2.855086829948260130e-01 4.587848621310270048e+00 -6.719726541214945392e-01 -1.823108255088130569e-01 1.939188219332631247e-01 1.861064261230129091e+01 8.460366266626163423e+00 1.458005160328608270e+02 1.088417998358170991e+02
9.524421261514038977e-05 -2.158850271817136218e+03 1.366845638552301179e-01 1.977608559009402800e-02 -3.786757504683175846e-01 9.047292515600648244e+01 8.723292545851868418e-01 2.935261596774178527e-01 4.598488898778076539e+00 -6.330736346265153358e-01 -1.363959727129855359e-01 1.178544414666102130e-01 1.865732720234802855e+01 1.182500952774356762e+01 1.412718781554630425e+02 1.234959389824521452e+02
1.172649605640765295e-04 -2.158642280074735027e+03 8.346232346480964015e-02 7.093635606176040831e-02 -3.305848687710275513e-01 8.066191947970214926e+01 7.662104609620924434e-01 3.134583894442991014e-01 4.592753315870254482e+00 -6.332766287171986974e-01 -1.527374862593298133e-01 1.291113741857283226e-01 1.822618663448702137e+01 9.836058360291222158e+00 1.585605797705149769e+02 1.274030084666457583e+02
1.081914323001273984e-04 -2.158722813889991357e+03 1.163760294219380043e-01 5.679834045414364208e-02 -3.565556640447975489e-01 9.591652056843786056e+01 9.108243558378191773e-01 2.834435880986959644e-01 4.588479110520385262e+00 -6.911859176922114933e-01 -1.759218331069840602e-01 6.459998209535396108e-02 1.971688904798719477e+01 1.201096670984980186e+01 1.481181689786670290e+02 1.251949824056670622e+02
9.839918040883911723e-05 -2.158817683594505979e+03 8.960085841401316253e-02 4.459818832815742873e-02 -3.782954264086719753e-01 7.495086493381235471e+01 8.004312377103983689e-01 3.131292458260078182e-01 4.597500118182376916e+00 -6.260829579431950176e-01 -1.311485616678014221e-01 9.026483922498156065e-02 1.917926830722299769e+01 8.441730866798780042e+00 1.466817552752189897e+02 1.046823347828058672e+02
9.540542861366722144e-05 -2.158848580588808545e+03 1.193368932559442375e-01 4.980624984199460981e-02 -2.880594552858344315e-01 9.023276788265985715e+01 8.500863634104569577e-01 2.824673248441115225e-01 4.588796959634878547e+00 -6.981466724027214354e-01 -2.415212454440069934e-01 9.371590615612469810e-02 1.831060403843380868e+01 1.106274604409285267e+01 1.509299295192687680e+02 1.062082806863122784e+02
9.855192821210529406e-05 -2.158816132470118191e+03 -1.073400349625100447e-02 1.092086382848909409e-01 -2.842080644268514256e-01 8.160199127559981491e+01 6.279124928994466170e-01 3.386233027006970708e-01 4.590730145201883161e+00 -6.416085804778965951e-01 -1.580898547392000086e-01 2.171110380031257836e-01 1.761512336745323637e+01 6.010200820572797475e+00 1.555872603007355508e+02 9.944649198248134780e+01
9.971222309780964569e-05 -2.158804427801123438e+03 1.239421306937105449e-01 3.987059240091853085e-02 -3.524228780857794341e-01 7.725267683884752046e+01 8.593940630970362538e-01 2.786884998299884453e-01 4.579621022587303081e+00 -6.948790264694708618e-01 -1.445941633345804167e-01 5.963726398767475734e-02 1.952818671293812258e+01 1.174638854902698704e+01 1.499545658856760042e+02 1.265948024954504092e+02
9.008869666914878381e-05 -2.158905921365779250e+03 1.337171500890209364e-01 4.964911254308104760e-02 -2.716308888218827988e-01 9.472952960801573852e+01 8.639686163784824346e-01 2.839292797423851877e-01 4.593443259525144207e+00 -6.783780280805866703e-01 -2.449047770813543856e-01 9.225747991802484005e-02 1.726415129845923957e+01 1.099255643614427314e+01 1.524237336403190284e+02 1.241400960808483092e+02
9.220848405750041769e-05 -2.158882663925044653e+03 1.039512563152248104e-01 5.111449617085661590e-02 -2.897638694435080708e-01 9.148789040776352977e+01 8.720812408958902306e-01 2.853396056334439601e-01 4.586058764317387570e+00 -6.717908942012325024e-01 -2.143454688944335107e-01 1.091129404712343764e-01 1.980707961472219836e+01 1.002603432224258384e+01 1.441405186428750369e+02 1.245563417803144972e+02
8.612769852803134037e-05 -2.158950885007816851e+03 7.841046387797592776e-02 2.764394604001144118e-02 -2.492115761497366577e-01 7.110476332976163860e+01 7.680703694445405461e-01 3.018795538146207824e-01 4.589694688544213363e+00 -6.275089342255437685e-01 -1.886980879306197068e-01 1.159259601782297588e-01 2.011950982587242720e+01 1.042557036790803338e+01 1.492025611913923058e+02 1.083395026604558922e+02
8.578103779870310266e-05 -2.158954918091959371e+03 -5.657414747942735023e-03 1.172133979378073565e-01 -2.634866729427143284e-01 7.797814561831503966e+01 6.227771676092508368e-01 3.475995025795429183e-01 4.595608977371156811e+00 -6.234483366514922409e-01 -1.678430398813834934e-01 2.125781885625521728e-01 1.860131106638954179e+01 9.734601346047533355e+00 1.581367312280529518e+02 1.100949173384744313e+02
9.788839962042172351e-05 -2.158822888018965841e+03 1.480986095220193921e-01 4.601188562798896875e-02 -4.207581417387862288e-01 8.907623687812932189e+01 8.565199746384822843e-01 2.861629638085803617e-01 4.591179206422007830e+00 -6.669935813951310966e-01 -1.448341101752033122e-01 1.336985191375122950e-01 1.985779864373805026e+01 1.078824125545019186e+01 1.411640038331321989e+02 1.018479914542242994e+02
1.440637571871522722e-04 -2.158436460109519430e+03 9.434364480698539945e-02 8.269783537061561884e-02 -3.777173102409476790e-01 9.875911499218602785e+01 7.509627253437152206e-01 3.039533186937410925e-01 4.583801894176938063e+00 -6.751198567746110601e-01 -1.501191620529747084e-01 2.114461522382197201e-01 1.995903322611215458e+01 7.550517315259019924e+00 1.532699728815452147e+02 1.016764053813069495e+02
9.969354388151970513e-05 -2.158804615149931124e+03 7.604718927404927054e-02 6.648489259662790363e-02 -3.312987543775451904e-01 8.078767543288643083e+01 7.700351784490216955e-01 3.042950901564902000e-01 4.595880025957830739e+00 -6.667709802391763585e-01 -1.528656086896145183e-01 1.382683765956897459e-01 2.057601865043261569e+01 1.083881085139837275e+01 1.442141580805764818e+02 8.850511369645452930e+01
8.830543467255706509e-05 -2.158925914415814532e+03 1.146997245347622096e-01 7.245463746654495774e-02 -3.638998232078081152e-01 8.100093628348784591e+01 7.767511357041827491e-01 3.027592400973477815e-01 4.586590292491797172e+00 -6.506244431384151650e-01 -1.460757530326399767e-01 1.595002713053093324e-01 1.794864559572744156e+01 1.137783331584230062e+01 1.457784702079256647e+02 1.010328796622702612e+02
9.428792724280456541e-05 -2.158860362912904293e+03 2.645081985350203335e-02 1.057488881705333783e-01 -3.257430120340742974e-01 8.027164524857367667e+01 6.466029219678812723e-01 3.324354639582203230e-01 4.585494751501124178e+00 -6.417128343783282673e-01 -1.536397496989210243e-01 1.861181510790421711e-01 2.223615026540491613e+01 8.185932983107878869e+00 1.565507795953286063e+02 1.023597101087376728e+02
1.006598734663879361e-04 -2.158794968825043270e+03 9.276229413328437867e-02 8.133466136759570642e-02 -3.307966689977615005e-01 9.544954160924027065e+01 7.623251499762947470e-01 3.164493984403896065e-01 4.595613867027994459e+00 -6.295099034680351480e-01 -1.644146084489521709e-01 1.989335362418072628e-01 1.892835704167353583e+01 8.238399940940333011e+00 1.482840756459820000e+02 1.074936702899410506e+02
9.529572813979546243e-05 -2.158849731085091207e+03 1.252307968088021417e-01 2.434306182371334670e-02 -3.354379596657386386e-01 7.111401889534097620e+01 8.256031171663831270e-01 2.895082116572502695e-01 4.594473217789968089e+00 -6.641015979963988958e-01 -1.754224883638639820e-01 7.015709943520929970e-02 1.692563706035247151e+01 1.178798434265437933e+01 1.469447457346640817e+02 1.044825301650479332e+02
9.552094408063362249e-05 -2.158847370536164362e+03 1.263296173436140590e-01 6.564738620866675256e-02 -3.610663657507608981e-01 8.500425731465432477e+01 7.770315320382824575e-01 3.034990761168875895e-01 4.593837923683253166e+00 -6.551206561076630130e-01 -1.602122741422733476e-01 1.613701896288506354e-01 2.041365324895741651e+01 9.960808388795761914e+00 1.556021254722699325e+02 9.038118096812807778e+01
