weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O3b_params-v_0 O3b_params-I01_spec1 O3b_params-I01_spec2 O3b_params-I01_spec3
0.000000000000000000e+00 -1.208259678044340806e+06 -3.934808823575144943e-02 1.180088418368474557e-02 -1.028352876077436751e+00 1.243084253436883557e+02 1.297642633207641838e-01 1.450853870221026964e+00 5.280824726160848748e+00 2.201658837136686309e-01 -2.775578778547420633e-01 1.225483593151567296e+00 -5.348904024797313639e+01 9.059315635414861845e+02 5.895223889571830114e+02 1.627148452044868776e+01
9.672481261702839980e-05 -1.886043015829649448e+03 1.088479538217725640e-01 -8.405399565321269861e-03 -1.969461887212919926e-01 7.892264469675350824e+01 8.697517610399824184e-01 2.918529089611674454e-01 4.593661945128525659e+00 -6.090776954979157942e-01 -2.377298302513870532e-01 8.032900756083835025e-01 1.923770632372708178e+01 1.044461412099417785e+01 9.040015713652516638e+01 8.540813069902175414e+01
1.017917870195012069e-04 -1.885991956369704894e+03 1.107092605686012809e-01 3.369851225751785417e-03 -1.318227664159299373e-01 1.013087045031432325e+02 7.923761575190286788e-01 2.994938559058801242e-01 4.590897312762345805e+00 -5.883307338573988687e-01 -2.835487112714818458e-01 1.689198681649783040e+00 2.008708667784350155e+01 1.004256719546325982e+01 9.303424055503795387e+01 8.316764423382771554e+01
9.109654978508735263e-05 -1.886102965862241035e+03 1.001130585322933253e-01 7.073246985907671869e-02 -3.981685924694735590e-01 1.052029999248110812e+02 7.552553913940147634e-01 3.064960731112202907e-01 4.589916242506586919e+00 -6.444473125953646964e-01 -1.122151725133622158e-01 2.812030469423630663e+00 2.426523275276286995e+01 8.991277659764485009e+00 9.384176302009117876e+01 9.923398044193298517e+01
1.027072738205897962e-04 -1.885983002852625759e+03 7.234381354678162679e-02 5.116926825840750759e-03 -4.226738456237688624e-02 1.087067294957442698e+02 7.632384598560915112e-01 3.050421006423005843e-01 4.589804378755307113e+00 -5.633001206297489905e-01 -3.109596334791984162e-01 2.270629350860736029e+00 2.101599665657505511e+01 1.076053614486693988e+01 9.729795332376455974e+01 8.734764943463125064e+01
9.444687593322933432e-05 -1.886066848275966549e+03 1.339600984353181701e-01 2.095274090810256284e-03 -1.424041834825744424e-01 1.087771021425234892e+02 8.823227765964432034e-01 2.894122227843444750e-01 4.590066902639721391e+00 -5.928173737937212362e-01 -2.643443000639980056e-01 2.089165031004375006e+00 1.858425553444459410e+01 1.081565046964816368e+01 8.882504076309116670e+01 9.821252217535902673e+01
1.133275444738670825e-04 -1.885884603543492858e+03 1.269246529925049105e-01 3.165277325776361117e-02 -2.845080215724289374e-01 1.070023604371739196e+02 7.905185723711968260e-01 2.948637978004117755e-01 4.590252723571351723e+00 -6.244357175776449331e-01 -1.831637371795395985e-01 1.636194295859734860e+00 2.078459799068519942e+01 1.109149146925825136e+01 8.858953207599817858e+01 1.026834938996978792e+02
1.053547300108708664e-04 -1.885957552755653978e+03 6.901434806798201205e-02 5.679137021206842606e-02 -2.285056462128531862e-01 7.420212588538670673e+01 7.173722580485184519e-01 3.212497097642376676e-01 4.587936307117489676e+00 -6.127844613347588343e-01 -2.096497001324524323e-01 1.864584467469551976e+00 1.911478831867640338e+01 9.390815901938021071e+00 9.604387341909881570e+01 9.522530745301804700e+01
9.220581467257107781e-05 -1.886090862598521653e+03 1.106626619029627279e-01 7.301929305164142625e-02 -4.730232910850000749e-01 8.014433931480562023e+01 7.682482488678038512e-01 3.062903039723600118e-01 4.590922884452592889e+00 -6.439405303162348826e-01 -1.046479932679091895e-01 3.039987617764508432e+00 2.048837747054568581e+01 1.071459690230880391e+01 8.972885516662331895e+01 8.536032952207838775e+01
9.311937848086698202e-05 -1.886081003483387121e+03 1.071787973797412585e-01 6.868573527085503061e-02 -3.439873933575641196e-01 8.839098885983733567e+01 7.432016336636634302e-01 3.072249506368151528e-01 4.589583298722379467e+00 -6.375386051571838575e-01 -1.775293367044754600e-01 3.582675422296784706e+00 2.234349823945518665e+01 1.028683194519475208e+01 9.598522222189053821e+01 8.062152794104015641e+01
9.966922352131394973e-05 -1.886013028854505137e+03 1.399418253201785978e-01 1.291679026958225673e-02 -2.787142670144189260e-01 9.566036268123245634e+01 8.571360442825226578e-01 2.800850814199130623e-01 4.585649077698424669e+00 -6.502519556781081178e-01 -2.003812383711822687e-01 1.015741840626639192e+00 2.224928991859320604e+01 8.510600621843057212e+00 9.688721879922445623e+01 9.776023811534240338e+01
1.134736777155951801e-04 -1.885883314897333548e+03 1.287942868998841195e-01 -4.562410953904028066e-03 -1.062479580613513441e-01 1.293054490343319571e+02 8.767321727990446956e-01 2.849011575009364750e-01 4.591599807110797293e+00 -5.955364352792933413e-01 -2.966284985765623716e-01 3.011021684833774081e+00 2.112615339984813545e+01 9.733775563207869297e+00 9.259596443002659782e+01 7.904748075421530018e+01
9.143537313489344756e-05 -1.886099253374764430e+03 8.984180958968751574e-02 1.191862793838780743e-01 -4.426516791997756606e-01 7.245641324198659561e+01 7.152138858387550036e-01 3.081406771732481675e-01 4.586484679553091581e+00 -6.797520686231544040e-01 -9.645257170857757245e-02 1.450639724555579990e+00 1.877920377895429738e+01 1.065590153231066317e+01 9.668401325469633889e+01 1.015656214333099427e+02
1.009873448308975608e-04 -1.885999890582671924e+03 5.543234657414838895e-02 4.872526179693159598e-02 -2.882503058633356652e-01 8.122231074473543799e+01 7.202594838344256178e-01 3.060512442064746153e-01 4.590932580147129016e+00 -6.525917724775782691e-01 -1.529372198920353476e-01 1.802067789547140864e+00 2.036560432719008418e+01 1.105961876134908906e+01 9.209666562770391351e+01 1.068348464140547236e+02
9.898322943007174010e-05 -1.886019935356870064e+03 1.041326233576913285e-01 7.417547944854446795e-02 -4.445748836603211629e-01 1.017907053560947332e+02 7.635900074393359160e-01 2.991798500619632373e-01 4.590380650019195485e+00 -6.712230306719013662e-01 -8.133447600342025297e-02 3.498478403529726055e+00 2.141847174056417202e+01 1.158415184062588921e+01 9.760638552542411617e+01 8.523785016581486218e+01
9.042289965465739432e-05 -1.886110388242875388e+03 8.525698219505944975e-02 6.370236839161616538e-02 -3.521962351628005194e-01 8.571883117126661489e+01 7.819902642806778603e-01 3.081930284183968527e-01 4.588720186801728218e+00 -6.523000610657621046e-01 -1.419340424155255409e-01 2.421353769323867144e+00 2.508368154558942820e+01 1.105432770626924111e+01 8.847645468908437749e+01 9.888152739075306386e+01
1.039990863146854930e-04 -1.885970503679291596e+03 8.007167260490197225e-02 1.766943098932707845e-02 -1.621385733924438632e-01 9.537718985010694439e+01 7.531471135315649379e-01 3.131621090910952088e-01 4.593062565607775483e+00 -5.888580003587502443e-01 -2.367079412385602044e-01 3.294746314327678505e+00 2.197014331972411583e+01 1.097115282277016846e+01 8.730493119662740753e+01 1.008558029464352614e+02
1.031526718178644731e-04 -1.885978675651519325e+03 1.426850435625548197e-01 7.847773353511380834e-02 -3.850647253024228611e-01 9.164164559368261109e+01 7.923403405050356563e-01 3.039601752704131354e-01 4.589107362006597413e+00 -6.392577783944413117e-01 -1.520764348170073887e-01 1.184310750538872803e+00 2.132280757869096988e+01 9.553249114433004507e+00 9.299537455524774998e+01 9.258440772771491822e+01
9.793445648264871974e-05 -1.886030587349443749e+03 1.125105992944084032e-01 2.106375353709089016e-02 -2.359379520958353460e-01 8.270923042257858526e+01 8.460462089417486453e-01 2.914292435073428389e-01 4.587534999293552573e+00 -6.424100616491679183e-01 -2.275043448293372350e-01 1.054317047844849364e+00 2.238651496505542582e+01 1.015964899548837863e+01 9.270832310120557906e+01 1.121685930753421019e+02
1.016414001709575803e-04 -1.885993434858814908e+03 7.756975993518547274e-02 3.417986627867397598e-02 -1.491608944890847610e-01 9.479426470577912767e+01 7.896546390002796567e-01 2.973857783390715381e-01 4.589746031374227542e+00 -6.031235814681976670e-01 -2.792921475242762241e-01 2.008498232550064433e+00 2.011705303152706392e+01 1.166120464244801980e+01 9.696331631677479379e+01 9.126357193907242049e+01
9.666624776578256687e-05 -1.886043621492113061e+03 1.194512092580752582e-01 1.106365161835873578e-01 -4.547181390542949231e-01 8.402196204426093118e+01 7.150740858845333614e-01 3.154406342154701948e-01 4.586709201292457294e+00 -6.760299942053620281e-01 -1.309314684757607594e-01 3.727561133666409621e+00 2.457716296072675277e+01 1.124808500388219201e+01 9.165316406969625973e+01 9.864029717133371378e+01
9.306315268838698544e-05 -1.886081607469097662e+03 1.242221566373902519e-01 5.117084629971907495e-02 -3.972679342126617108e-01 1.024023984473503930e+02 8.038780861256068500e-01 2.946235631410782929e-01 4.587341063692823795e+00 -6.489709568522554761e-01 -1.550854496272788818e-01 1.403619849505744366e+00 2.180171287755351273e+01 8.388127233980192443e+00 9.275736333721783922e+01 1.050211621208467818e+02
9.766453183694005292e-05 -1.886033347331173445e+03 9.920149006974618433e-02 1.150178066709236779e-01 -4.223458662630306115e-01 1.197835543541127095e+02 7.331597605119164474e-01 3.051065722872595698e-01 4.585181122296651424e+00 -7.164184403349498353e-01 -1.232240238124862053e-01 3.505895892045558959e+00 2.078563583320359953e+01 1.209594986200179889e+01 9.029174671880791436e+01 9.569769417966766412e+01
9.211415395769359158e-05 -1.886091857181182604e+03 5.434320233791173349e-02 5.287216566976088439e-03 -9.809460782624324082e-02 8.931396010662875540e+01 7.543083419156566549e-01 3.005793596194514805e-01 4.584246289752358372e+00 -5.982499210246883248e-01 -2.776919428879811580e-01 2.298522819367342596e+00 1.799505628909412280e+01 1.166256408743193695e+01 9.216985989406600766e+01 8.897494027787844573e+01
9.110284594519441070e-05 -1.886102896749387128e+03 1.179344775264805911e-01 4.396957155474620627e-02 -2.587194343854624101e-01 1.005686422451174025e+02 7.675191204860551952e-01 3.013048783954948018e-01 4.592311517896781936e+00 -6.190108762972121870e-01 -2.093567159530187460e-01 2.721966405862997096e+00 2.249976381478094822e+01 1.166988533485135981e+01 9.942462051503552800e+01 9.379267223295950373e+01
1.017269732139610203e-04 -1.885992593301726856e+03 9.380697139736587920e-02 1.307333046305686475e-02 -2.015207428848229121e-01 8.616158402209167377e+01 7.869388839076519870e-01 2.939674215021509940e-01 4.582906761552450803e+00 -6.337422149150122586e-01 -2.288927580499209302e-01 1.609519652382182198e+00 2.019999268163343231e+01 9.395303184473903002e+00 8.967532597668837013e+01 1.046229371659512850e+02
9.333582630047132403e-05 -1.886078681768452043e+03 3.177778407142659023e-02 1.497938326993095426e-01 -4.273824776096861733e-01 8.914419977741312096e+01 5.836766838656599621e-01 3.412770738671673243e-01 4.588038344576718330e+00 -6.677953977448671807e-01 -1.080548257458713302e-01 3.080975851591210901e+00 2.487287079331352402e+01 1.106282310811868008e+01 9.420696159396646863e+01 1.020062076122723056e+02
9.861801422715458024e-05 -1.886023631847965135e+03 1.361871450152845331e-01 1.027203293426800779e-01 -4.924798443914926160e-01 7.884184131262915685e+01 8.030415823964422994e-01 2.906084013045689973e-01 4.579665577482833427e+00 -7.152840703905676278e-01 -1.067204414807165769e-01 1.758734851211239514e+00 2.028546858363563388e+01 1.015264050017261610e+01 9.300127923911693983e+01 1.020515812360108754e+02
9.458963857918079759e-05 -1.886065337851660843e+03 1.103564253123073546e-01 5.086209118007789520e-02 -4.012888238554501719e-01 8.875188296499626972e+01 7.534105662043969476e-01 2.990797724156148418e-01 4.584863706949172446e+00 -6.689589968983014057e-01 -1.548883166992061078e-01 1.714255310840546942e+00 2.073342778708050105e+01 1.017066542430089626e+01 9.362485878322502231e+01 8.768731608176749148e+01
8.988682925190104658e-05 -1.886116334366642150e+03 8.186029734367228361e-02 9.300471188056086413e-02 -3.756474072479014659e-01 8.678967971292102845e+01 7.198276385314656967e-01 3.226594473030898191e-01 4.591363355461318463e+00 -6.356529532878885114e-01 -1.450011947350144936e-01 2.523117364780694150e+00 2.040572889230179499e+01 1.046765334989274621e+01 9.974146893029190153e+01 8.646904708835801046e+01
