weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
0.000000000000000000e+00 -1.994975725524841342e+06 -3.500873729521333799e-02 3.466093236850595338e-02 -2.512793332015720527e+00 1.074587141361377434e+02 3.155391414361300439e-01 5.289108535089510621e-01 4.775159477681768294e+00 -2.833309209658407823e-03 5.755698488652654099e-01 3.416338403417167768e+00 7.093464953755264446e+01 6.806933703114765422e+01 1.722059308733078353e+02 8.592362590526278154e+02 7.962019299084374779e+02 9.320181701904548390e+02 5.086296209686898919e+02 4.588476883034218190e+02
5.338230492736087271e-05 -1.829355093128767749e+03 -3.547487884625878662e-02 -3.551904309066604426e-02 -2.724864261443466162e+00 1.062040999932678176e+02 5.792847535313867535e-01 7.049540182674038924e-01 4.402093603195872618e+00 -8.301054650924566403e-02 2.829486208207345754e-01 8.325612126736539054e-01 -9.262101395141911553e+00 -1.413132799877783441e+01 2.755623034191845377e+01 7.715059790136591289e+01 1.447659267526202242e+01 2.690691330493222466e+01 1.213336298077927111e+01 4.919347134378659803e+01
5.490232131939823027e-05 -1.829327016821111329e+03 4.953206324209125100e-02 -7.474034852493084691e-02 -2.615479502138776002e+00 1.089163856201676737e+02 6.486996267115112680e-01 6.752233759001249336e-01 4.406217808483598120e+00 -1.536262153177829770e-01 2.796336319544312499e-01 9.552208439870611967e-01 -5.176317273110726092e+00 -9.827369737123234472e+00 2.702158229254336774e+01 7.495501495349010668e+01 1.492806625907017093e+01 2.632933645519430854e+01 1.136143615636164839e+01 4.249365945866934169e+01
5.330349347066449216e-05 -1.829356570578854189e+03 8.541070662235333844e-02 6.255275049019171085e-02 -2.703594662636493062e+00 8.933078713130302617e+01 8.193761610915319960e-01 6.020805846029902986e-01 4.417587582977786198e+00 -1.014338621471062574e-01 3.293719035825712904e-01 1.934106825755031178e-01 -8.182554921878022469e+00 -1.369510130484627553e+01 2.957294129710263775e+01 7.476948717201459260e+01 1.503673287799667335e+01 2.838289550929229321e+01 1.071402807530374979e+01 4.344460656584570302e+01
9.977292360606348945e-05 -1.827832758050504481e+03 1.931471795429295923e-03 -5.889766206020753680e-02 -2.771601555459905164e+00 1.066369800976605120e+02 6.653618408817824070e-01 6.463251584285156781e-01 4.415496303588628990e+00 -9.662372983870781695e-02 3.032693922914797557e-01 9.190258447952225351e-01 -9.546524139894017935e+00 -1.452185653687806166e+01 2.638326899658660807e+01 7.315985567398730893e+01 1.536043980771539808e+01 2.600353663867826981e+01 1.405342530459485673e+01 4.057345584533999983e+01
1.118120728346150408e-04 -1.827718835349569872e+03 4.052411170989303479e-02 -2.231773877109069493e-02 -2.737767330240427732e+00 1.320939286315605159e+02 7.060576557007008924e-01 6.422498003343004580e-01 4.412691928518321482e+00 -1.110564362524120163e-01 3.280991226010991912e-01 1.037005847750507082e+00 -7.912014385263717031e-01 -1.078849166023260864e+01 2.759008671461560169e+01 7.108748168256806821e+01 1.534125312630352234e+01 2.588956695226796256e+01 1.043124634280712115e+01 4.716867175733707995e+01
7.459099448870154222e-05 -1.828123635107845985e+03 1.197477982111980477e-01 2.470243135960031866e-02 -2.699322879720345458e+00 1.220077098403197766e+02 7.882601050244961716e-01 5.929061440552578777e-01 4.407355320410847099e+00 -1.437413903096569356e-01 3.499453213096914705e-01 5.424544056069058318e-01 -8.436703714987174862e-01 -1.101566900921378078e+01 2.731408230355558686e+01 7.694187134456132071e+01 1.415043984419317447e+01 2.537207234342853113e+01 1.237910095689265333e+01 4.504129739413542666e+01
6.167992373301179753e-05 -1.828313696397699459e+03 9.179110552885433316e-02 6.733485247579767963e-02 -2.772307592851789959e+00 1.005935752905045462e+02 7.942143261037800661e-01 5.662324853198212882e-01 4.405621857038601874e+00 -7.912305074487790968e-02 3.895347721674795594e-01 3.918080762538125317e-01 -3.018957016664813864e+00 -1.332195177723605184e+01 2.874032018445449310e+01 7.607395670544336497e+01 1.475236791171285944e+01 2.814224597560732732e+01 1.454863873893685877e+01 4.046058414876485188e+01
8.277189499469764060e-05 -1.828019566319119349e+03 4.641738621319449476e-02 4.152174816921042066e-02 -2.695457741624413650e+00 9.780471022622913324e+01 8.193962262289571363e-01 6.166452326405157391e-01 4.421197083758558577e+00 -1.030950484239536724e-01 3.679311022349718296e-01 3.547991447872172466e-01 -2.492848403940911339e+00 -1.260933114706639913e+01 2.809531967760847593e+01 7.287059722234035064e+01 1.424212209124842232e+01 2.780293734559535679e+01 1.238638427822147392e+01 4.853376422881772356e+01
7.577764796231770204e-05 -1.828107851523060617e+03 -1.347416619006130967e-02 -7.617061139574805850e-02 -2.724856189902711279e+00 9.482804765714608664e+01 5.860966666651621360e-01 6.808004440743121721e-01 4.419854189338041195e+00 -1.310193861087349809e-01 2.627329963352329489e-01 6.316214338702941244e-01 -7.674364097174930066e+00 -1.300037068968558174e+01 2.542033546031374769e+01 7.467944349280230654e+01 1.571515385658262076e+01 2.690296734627306563e+01 1.051318808766909996e+01 4.919826788813597318e+01
