weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
0.000000000000000000e+00 -1.667283209890732076e+06 3.679784362573684797e-02 1.015241100639856231e-01 -3.129464364846527236e+00 1.042214374102166943e+02 7.588698070050130529e-01 2.406060591995653919e+00 3.890102661629042391e+00 -5.226524978240336683e-01 4.690174390332590981e-01 2.415430492937064300e-01 -8.123149297476831521e+01 -8.078504213330364792e+01 7.761065474086741460e+02 2.674406353247526908e+02 6.993102820026635982e+02 8.743673460138488736e+02 2.889922865642004126e+02 5.078974650602263807e+01
9.640821009512028582e-05 -1.598898682117732960e+03 1.056048749122131258e-01 -1.172955805513994226e-01 -2.430423439360066773e+00 9.193648920326945984e+01 6.134541464555297585e-01 6.560761706261912796e-01 4.405789606659387125e+00 -2.087228420338815837e-01 2.356605226896770766e-01 7.725287243953460337e-01 -1.478643021874748058e+02 -1.496560811585859483e+02 1.769200667174053621e+01 4.908500764249523485e+01 7.038528397398047254e+00 1.533401055234928734e+01 1.300302398792896241e+01 3.737607838628797907e+01
7.582727927197436548e-05 -1.599138815369924941e+03 1.443782708306131923e-01 -6.891026441962933013e-03 -2.484103510366267642e+00 9.218799836834821804e+01 7.468686487655957773e-01 6.180547515109924284e-01 4.408879763097098170e+00 -1.943924149189264483e-01 3.132586893482853796e-01 1.077363708403836773e+00 -1.480604130912575442e+02 -1.499670322289714193e+02 1.714977264391171019e+01 5.168062726764799208e+01 7.603516248448793924e+00 1.558122181448140608e+01 1.548082276749351749e+01 2.828270825665068955e+01
8.562574535672414346e-05 -1.599017287481244239e+03 1.115380547301214886e-01 -6.080067688291680705e-02 -2.469389841891571624e+00 9.564724083749857186e+01 6.781348997251938071e-01 6.210046565289353282e-01 4.402869552442899348e+00 -2.053997822298039289e-01 2.768068300931905146e-01 5.979561735817134904e-01 -1.468589587080238630e+02 -1.490364443542770516e+02 2.101371896040815557e+01 4.739848357043386073e+01 8.187261424748793814e+00 1.521827014160503921e+01 1.126640437608883438e+01 3.014253301893188208e+01
7.973484652464417105e-05 -1.599088566771304613e+03 9.038740314645660190e-02 -1.223595169274005884e-01 -2.451758038211513835e+00 7.115474939424227330e+01 5.858573638721384924e-01 6.838955868681846351e-01 4.402781567340699809e+00 -2.211913178641462530e-01 2.632166285187595989e-01 5.541259597596889241e-01 -1.487986064714065719e+02 -1.495681960398619594e+02 2.274115456206260433e+01 4.661185696224345776e+01 8.340379662088004409e+00 1.630754127458256164e+01 1.169822108069873323e+01 2.700129536539552788e+01
8.979227377184801620e-05 -1.598969774549253543e+03 9.903112253534693266e-02 -7.790282516033208982e-02 -2.579165349284904707e+00 1.060746913960976912e+02 6.574746838617534506e-01 6.357712336222580696e-01 4.405068031025381359e+00 -1.633689803214273262e-01 2.966838679462551198e-01 8.815640998308950094e-01 -1.498332287477144860e+02 -1.484211654981027664e+02 1.900873385165380114e+01 4.753252302115606653e+01 7.470551355583499031e+00 1.458850158205338232e+01 1.285982708599620139e+01 2.791970346301897621e+01
7.575850056268506748e-05 -1.599139722825942044e+03 1.473361523783518756e-01 1.893813847300718223e-02 -2.337258839866067639e+00 7.959598915503379146e+01 8.420580885231443435e-01 5.850750210267068319e-01 4.422375596237769990e+00 -2.583310595964216638e-01 2.906532974301871963e-01 4.520766124153375864e-01 -1.483866617856394896e+02 -1.499636334066579764e+02 1.891895207982685534e+01 4.807847214579363992e+01 5.675408791853908674e+00 1.545100477117722448e+01 1.313446147644614648e+01 2.617803512816085743e+01
8.342453270616144239e-05 -1.599043331059427601e+03 1.452046104455186060e-01 -1.503704535014649402e-02 -2.469972375799478037e+00 7.952937092298265043e+01 7.500318736482780579e-01 6.005844746538646639e-01 4.407325495867622678e+00 -2.005636188231076922e-01 3.405626740742919711e-01 4.322427637666483302e-01 -1.445223197036278862e+02 -1.496633750240474683e+02 2.092282903972364494e+01 5.080863970603432733e+01 7.255927329423150773e+00 1.508511497922382461e+01 1.134952054583926540e+01 3.206254836080623960e+01
8.165106642433645769e-05 -1.599064818602430933e+03 1.011899996601622054e-01 -7.317390228686561360e-02 -2.402085758794346049e+00 8.107258317956652149e+01 6.153792387258562036e-01 6.651954837487736860e-01 4.411568796947355153e+00 -2.230775207321871179e-01 2.604853090921370740e-01 5.310586125207629182e-01 -1.486967747492092258e+02 -1.498332683133618559e+02 1.957525704831286717e+01 4.878551194336688468e+01 6.555969235363723335e+00 1.666840886479226214e+01 1.214151536342011894e+01 3.113188899244267915e+01
7.503094722257566283e-05 -1.599149372824622333e+03 1.189826588080857006e-01 -1.357577022422435387e-01 -2.462929665003290136e+00 1.207694862584266247e+02 5.855814678050843547e-01 6.679294492560523544e-01 4.394961994953218820e+00 -2.167151309059589526e-01 2.698638327001574577e-01 1.112589576388591794e+00 -1.492635351505800543e+02 -1.499705312390439076e+02 1.924460025399310581e+01 4.805512777745902042e+01 1.008743470009576626e+01 1.553487520574714509e+01 1.402952736507745435e+01 2.841192093959377019e+01
