weight logl shared_params-g1 shared_params-g2 shared_params-theta_int shared_params-vcirc shared_params-cosi shared_params-r_hl_disk shared_params-flux shared_params-dx_disk shared_params-dy_disk shared_params-vscale O2_params-v_0 O2_params-v_0_2 O2_params-I01_spec1 O2_params-I02_spec1 O2_params-I01_spec2 O2_params-I02_spec2 O2_params-I01_spec3 O2_params-I02_spec3
0.000000000000000000e+00 -5.407101032572510885e+05 -2.143127955163826037e-02 -6.362158697085711079e-02 2.294387756818352386e-01 9.931832838810223052e+01 9.608121818383122958e-01 2.025052129936603773e+00 5.079931540787329780e+00 -3.965775329490368595e-01 -9.958824684739797650e-01 4.782494923834573752e-01 -9.301121830365278242e+01 -1.352241644772908558e+01 2.118067441358449798e+02 7.592543668765272002e+01 9.404474789276722504e+02 7.293655135113062897e+02 1.741887460370228382e+02 8.065410386069155493e+02
6.299414897102708342e-05 -1.477599209728313554e+03 6.312273640560514543e-02 -1.121182338649364119e-01 -2.536775200581630862e+00 7.872344558380584090e+01 5.933704461426986265e-01 6.746377192733363781e-01 4.407817018478841220e+00 -2.085807060889366404e-01 2.499118302549532267e-01 1.062869620738098320e+00 -1.494529907321894200e+02 -1.498883426837942636e+02 6.192019077781030489e+01 9.260958187266066943e+01 2.170397499885778814e+01 3.081740166772317480e+01 4.396750211759803051e+01 4.958028883871967452e+01
6.140154395042183200e-05 -1.477624816596307028e+03 1.333388468385428294e-01 -2.605382242797577019e-02 -2.369838584739768272e+00 1.069216087315121513e+02 7.805779523953262355e-01 6.150175886953181958e-01 4.409753200936183504e+00 -2.219098503641321329e-01 2.817769679495978341e-01 1.055141097583328857e+00 -1.497014938668714876e+02 -1.498028173579511417e+02 6.269235630385882985e+01 9.654303684153653364e+01 2.380292640317360764e+01 2.990453212647747705e+01 4.583042428006412194e+01 5.034309341791431791e+01
7.153729698559903934e-05 -1.477472032627058979e+03 9.917126884892710215e-02 -8.811192799207927251e-02 -2.457221122572724070e+00 8.985251987235764659e+01 6.137137315990185416e-01 6.908601793938273783e-01 4.427255070200651232e+00 -1.928476279414514938e-01 2.588788834477411260e-01 1.028401750857486086e+00 -1.485815579991834738e+02 -1.499918032924048532e+02 6.721332859207818444e+01 8.862750867602886728e+01 2.596129657942436353e+01 3.380967041744964519e+01 4.986879121335263676e+01 4.484467501651690213e+01
7.232308298564842834e-05 -1.477461108231961589e+03 1.367030282602446356e-01 -2.977499738167739551e-02 -2.429642736812382076e+00 1.054332921933496436e+02 7.314166404629555140e-01 6.304419949717314786e-01 4.430004597170507097e+00 -2.069532849225326210e-01 3.149856803025044005e-01 1.018531593298609650e+00 -1.496617781703690468e+02 -1.498385503923867930e+02 6.944802192176813094e+01 8.912386116667947533e+01 2.560076314552839349e+01 3.143362467695343199e+01 5.075546909991179945e+01 4.454996709005742872e+01
6.418998966370713681e-05 -1.477580404302619172e+03 1.497515952561616348e-01 -1.275483475878275152e-01 -2.345435929963735955e+00 8.829841571058585714e+01 5.919636306367245249e-01 6.656959058189072520e-01 4.392950310455839613e+00 -2.730893100849893784e-01 2.664222756277170312e-01 9.978615529871448508e-01 -1.492811261543675130e+02 -1.496533595092011808e+02 6.217371149322082147e+01 9.009947012636565944e+01 2.490259846903853003e+01 3.183278300364666791e+01 5.061061389859366955e+01 5.275816393434840279e+01
6.464731220525884428e-05 -1.477573305047113990e+03 1.487521651237839471e-01 1.125158749340315900e-02 -2.439468122916269799e+00 1.122506682510890954e+02 8.575042694323654624e-01 5.681808220671977772e-01 4.411624527415821007e+00 -2.345134084890116988e-01 3.564060071427950227e-01 6.952642980536249961e-01 -1.489051394296204762e+02 -1.497692100189809707e+02 5.690099645360358238e+01 8.812945900447310521e+01 2.199742489315470451e+01 3.140632200167192778e+01 4.450623620101157485e+01 4.238935487496387111e+01
6.188251702039402821e-05 -1.477617013876208148e+03 1.486610332357501119e-01 -3.825709825783889240e-02 -2.376081706156425000e+00 8.276024280133846389e+01 7.047597967836055632e-01 6.051910479081645811e-01 4.393163190703527121e+00 -2.393037457520903466e-01 2.879631544102432272e-01 9.715602613183705882e-01 -1.486862876809586282e+02 -1.499051534749695236e+02 6.461640286830683522e+01 9.018876655686413812e+01 2.453381029379253420e+01 3.519532500732247371e+01 4.578311129223578035e+01 4.432652302126405175e+01
7.196081974184186613e-05 -1.477466129776266826e+03 8.458061419839349449e-02 -1.477360507087862596e-01 -2.474911137450254373e+00 8.456672442478848950e+01 5.966752678093782958e-01 6.732999222229143488e-01 4.415113145507897130e+00 -2.202129043475009595e-01 2.392643411897792394e-01 1.160528965492965581e+00 -1.497401659079665421e+02 -1.498981637407291032e+02 6.804454140865401257e+01 9.635879136254965260e+01 2.435677488189757867e+01 3.080800979535802497e+01 4.000325420033623658e+01 5.542613513052585716e+01
7.110589446817676342e-05 -1.477478081339630990e+03 1.300653237888287628e-01 -1.664247796144935343e-03 -2.423718273001866930e+00 9.552740879258227835e+01 7.731477541032898415e-01 5.912470662227774509e-01 4.402598350158221763e+00 -2.096006319525793860e-01 3.179752253981531496e-01 6.481846893244812557e-01 -1.496876025485118191e+02 -1.499228435930756689e+02 6.587482133358312808e+01 9.479674668080151889e+01 1.993335204318735876e+01 2.908436173429440430e+01 4.475509784484166431e+01 5.288798836270635917e+01
