 slitID       z        RA       DEC    radius  theta_rad  g1_best  g1_err  g2_best  g2_err       gt  gt_err       gx  gx_err
    7.0 0.41083 42.182724 -3.434781 11.624297   0.511162  -0.0207 0.01170   0.0099 0.01055  0.00234 0.01087 -0.02283 0.01140
    8.0 0.49183 42.213530 -3.452044 12.857375   0.370104   0.0327 0.00770   0.0756 0.00740 -0.07513 0.00757 -0.03376 0.00754
   29.0 0.56417 42.140826 -3.496756  7.874440   0.252596  -0.0780 0.02625  -0.0352 0.03390  0.08529 0.02823 -0.00695 0.03227
   36.0 0.52800 42.143129 -3.523608  7.770937   0.045935  -0.1073 0.03180  -0.0909 0.02970  0.11519 0.03178  0.08067 0.02972
   43.0 0.56025 42.159774 -3.555732  8.901101  -0.177378   0.0778 0.04155   0.0782 0.03605 -0.04579 0.04093 -0.10036 0.03676
   49.0 0.66600 42.185382 -3.587947 10.877582  -0.327932   0.0511 0.04690   0.0438 0.04575 -0.01379 0.04648 -0.06588 0.04618
   50.0 0.84500 42.164860 -3.581213  9.581736  -0.329396   0.0884 0.03805  -0.0130 0.01965 -0.07786 0.03240 -0.04384 0.02800
   56.0 0.80275 42.115665 -3.580849  6.845715  -0.466284  -0.0222 0.08515  -0.0232 0.08915 -0.00541 0.08775  0.03165 0.08659
   61.0 0.51450 42.108371 -3.597954  7.005222  -0.625906   0.0307 0.08950  -0.0681 0.07645 -0.07429 0.07783 -0.00780 0.08830
   70.0 0.67125 42.118898 -3.635600  8.960239  -0.789645   0.0298 0.02660  -0.0520 0.04740 -0.05175 0.04740 -0.03024 0.02660
   75.0 0.95500 42.040507 -3.347454 11.043427   1.424906   0.1047 0.01755  -0.0159 0.01775  0.10485 0.01757  0.01489 0.01773
   79.0 0.65233 42.005795 -3.345538 11.051341   1.613999  -0.0894 0.03005   0.0081 0.05780 -0.08837 0.03035  0.01578 0.05764
   84.0 0.76683 42.010092 -3.365015  9.874873   1.593024   0.0810 0.04005   0.0111 0.02585  0.08141 0.04003  0.00749 0.02589
   88.0 0.71150 42.024038 -3.388253  8.500589   1.498116  -0.1064 0.02450   0.0251 0.07425 -0.10891 0.02652  0.00942 0.07355
   91.0 0.49533 41.986531 -3.382054  8.999505   1.753277  -0.0714 0.04725   0.0346 0.02740 -0.05435 0.04521  0.05780 0.03065
   95.0 0.93983 42.002920 -3.404632  7.523509   1.657273   0.0050 0.05855  -0.0457 0.06155 -0.00294 0.05864 -0.04588 0.06146
   96.0 0.49550 42.023171 -3.419270  6.641239   1.485580   0.1008 0.03345  -0.1044 0.02015  0.11705 0.03314 -0.08579 0.02065
  117.0 0.61167 41.963847 -3.483863  4.059708   2.400210  -0.0478 0.01365   0.0088 0.01365  0.01297 0.01365  0.04684 0.01365
  118.0 0.61917 41.911107 -3.464901  7.278528   2.579478  -0.0257 0.02070   0.0180 0.01655  0.02733 0.01740  0.01541 0.01999
  132.0 0.59225 41.920101 -3.519626  5.650434   3.035962  -0.0828 0.03135  -0.0136 0.03475  0.07811 0.03151  0.03066 0.03461
  135.0 0.62225 41.927300 -3.532478  5.189963  -3.107799  -0.0394 0.03795   0.0915 0.03455  0.03313 0.03794 -0.09395 0.03457
  141.0 0.62000 41.892300 -3.539847  7.313115  -3.057057  -0.0719 0.04100  -0.0301 0.02090  0.07594 0.04057  0.01757 0.02173
